time,x_train.shape,t_train.shape,batch size,epochs
8,"(2097, 100, 10)","(2097, 4)",256,100
8,"(2097, 100, 10)","(2097, 4)",256,100
7,"(2097, 100, 10)","(2097, 4)",256,100
7,"(2097, 100, 10)","(2097, 4)",256,100
8,"(2097, 100, 10)","(2097, 4)",256,100
12,"(2007, 200, 10)","(2007, 4)",256,100
10,"(2007, 200, 10)","(2007, 4)",256,100
14,"(2007, 200, 10)","(2007, 4)",256,100
13,"(2007, 200, 10)","(2007, 4)",256,100
11,"(2007, 200, 10)","(2007, 4)",256,100
18,"(1917, 300, 10)","(1917, 4)",256,100
13,"(1917, 300, 10)","(1917, 4)",256,100
12,"(1917, 300, 10)","(1917, 4)",256,100
16,"(1917, 300, 10)","(1917, 4)",256,100
11,"(1917, 300, 10)","(1917, 4)",256,100
24,"(1827, 400, 10)","(1827, 4)",256,100
16,"(1827, 400, 10)","(1827, 4)",256,100
16,"(1827, 400, 10)","(1827, 4)",256,100
21,"(1827, 400, 10)","(1827, 4)",256,100
18,"(1827, 400, 10)","(1827, 4)",256,100
30,"(1737, 500, 10)","(1737, 4)",256,100
20,"(1737, 500, 10)","(1737, 4)",256,100
20,"(1737, 500, 10)","(1737, 4)",256,100
26,"(1737, 500, 10)","(1737, 4)",256,100
16,"(1737, 500, 10)","(1737, 4)",256,100
31,"(1647, 600, 10)","(1647, 4)",256,100
26,"(1647, 600, 10)","(1647, 4)",256,100
21,"(1647, 600, 10)","(1647, 4)",256,100
28,"(1647, 600, 10)","(1647, 4)",256,100
18,"(1647, 600, 10)","(1647, 4)",256,100
36,"(1557, 700, 10)","(1557, 4)",256,100
24,"(1557, 700, 10)","(1557, 4)",256,100
25,"(1557, 700, 10)","(1557, 4)",256,100
32,"(1557, 700, 10)","(1557, 4)",256,100
22,"(1557, 700, 10)","(1557, 4)",256,100
41,"(1467, 800, 10)","(1467, 4)",256,100
35,"(1467, 800, 10)","(1467, 4)",256,100
28,"(1467, 800, 10)","(1467, 4)",256,100
37,"(1467, 800, 10)","(1467, 4)",256,100
26,"(1467, 800, 10)","(1467, 4)",256,100
46,"(1377, 900, 10)","(1377, 4)",256,100
34,"(1377, 900, 10)","(1377, 4)",256,100
28,"(1377, 900, 10)","(1377, 4)",256,100
30,"(1377, 900, 10)","(1377, 4)",256,100
44,"(1377, 900, 10)","(1377, 4)",256,100
51,"(1287, 1000, 10)","(1287, 4)",256,100
44,"(1287, 1000, 10)","(1287, 4)",256,100
30,"(1287, 1000, 10)","(1287, 4)",256,100
34,"(1287, 1000, 10)","(1287, 4)",256,100
50,"(1287, 1000, 10)","(1287, 4)",256,100
14,"(2168, 100, 9)","(2168, 4)",256,100
13,"(2168, 100, 9)","(2168, 4)",256,100
15,"(2168, 100, 9)","(2168, 4)",256,100
15,"(2168, 100, 9)","(2168, 4)",256,100
12,"(2168, 100, 9)","(2168, 4)",256,100
19,"(2078, 200, 9)","(2078, 4)",256,100
17,"(2078, 200, 9)","(2078, 4)",256,100
19,"(2078, 200, 9)","(2078, 4)",256,100
15,"(2078, 200, 9)","(2078, 4)",256,100
18,"(2078, 200, 9)","(2078, 4)",256,100
25,"(1988, 300, 9)","(1988, 4)",256,100
20,"(1988, 300, 9)","(1988, 4)",256,100
20,"(1988, 300, 9)","(1988, 4)",256,100
24,"(1988, 300, 9)","(1988, 4)",256,100
18,"(1988, 300, 9)","(1988, 4)",256,100
31,"(1898, 400, 9)","(1898, 4)",256,100
24,"(1898, 400, 9)","(1898, 4)",256,100
24,"(1898, 400, 9)","(1898, 4)",256,100
29,"(1898, 400, 9)","(1898, 4)",256,100
30,"(1898, 400, 9)","(1898, 4)",256,100
32,"(1808, 500, 9)","(1808, 4)",256,100
27,"(1808, 500, 9)","(1808, 4)",256,100
28,"(1808, 500, 9)","(1808, 4)",256,100
39,"(1808, 500, 9)","(1808, 4)",256,100
25,"(1808, 500, 9)","(1808, 4)",256,100
43,"(1718, 600, 9)","(1718, 4)",256,100
38,"(1718, 600, 9)","(1718, 4)",256,100
32,"(1718, 600, 9)","(1718, 4)",256,100
