day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,8,0.4605809128630705,0.46473029045643155
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,5,0.4854771784232365,0.4896265560165975
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,5,0.46887966804979253,0.4730290456431535
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,4,0.47717842323651455,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,4,0.4854771784232365,0.4896265560165975
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,12,0.47619047619047616,0.4805194805194805
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,8,0.5454545454545454,0.5454545454545454
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,8,0.4675324675324675,0.47186147186147187
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,6,0.5670995670995671,0.5714285714285714
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,7,0.48484848484848486,0.48484848484848486
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,18,0.497737556561086,0.502262443438914
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,13,0.4660633484162896,0.47058823529411764
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,10,0.5158371040723982,0.5203619909502263
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,17,0.48868778280542985,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,9,0.4751131221719457,0.4796380090497738
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,20,0.5023696682464455,0.5023696682464455
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,16,0.46445497630331756,0.46919431279620855
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,13,0.5639810426540285,0.5687203791469194
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,14,0.5118483412322274,0.5213270142180095
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,11,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,28,0.5074626865671642,0.5074626865671642
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,21,0.4626865671641791,0.4626865671641791
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,16,0.5472636815920398,0.5522388059701493
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,17,0.5621890547263682,0.5671641791044776
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,13,0.5174129353233831,0.5223880597014925
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,34,0.5130890052356021,0.5235602094240838
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,24,0.5706806282722513,0.5759162303664922
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,19,0.5078534031413613,0.5130890052356021
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,20,0.5706806282722513,0.5759162303664922
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,16,0.5130890052356021,0.5235602094240838
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,34,0.5414364640883977,0.5524861878453039
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,25,0.5911602209944752,0.5966850828729282
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,20,0.580110497237569,0.585635359116022
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,21,0.580110497237569,0.585635359116022
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,33,0.5359116022099447,0.5469613259668509
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,40,0.5380116959064327,0.5497076023391813
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,28,0.5146198830409356,0.52046783625731
1,GRU,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,23,0.5730994152046783,0.5789473684210527
