day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,8,0.49145299145299143,0.5
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,6,0.49145299145299143,0.5
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,4,0.5042735042735043,0.5170940170940171
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,6,0.49572649572649574,0.5
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,4,0.47435897435897434,0.47863247863247865
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,16,0.5089285714285714,0.5178571428571429
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,10,0.4732142857142857,0.48660714285714285
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,8,0.5,0.5089285714285714
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,9,0.5089285714285714,0.5178571428571429
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,16,0.5178571428571429,0.5267857142857143
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,22,0.5373831775700935,0.5420560747663551
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,13,0.4532710280373832,0.4532710280373832
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,11,0.5093457943925234,0.5233644859813084
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,12,0.5233644859813084,0.5327102803738317
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,15,0.48130841121495327,0.48598130841121495
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,27,0.5245098039215687,0.5343137254901961
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,21,0.5196078431372549,0.5294117647058824
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,14,0.5049019607843137,0.5147058823529411
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,14,0.5392156862745098,0.5441176470588235
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,11,0.5147058823529411,0.5147058823529411
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,42,0.520618556701031,0.5309278350515464
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,25,0.5463917525773195,0.5515463917525774
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,16,0.5103092783505154,0.520618556701031
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,17,0.5309278350515464,0.5309278350515464
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,23,0.5154639175257731,0.5154639175257731
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,43,0.5489130434782609,0.5489130434782609
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,35,0.5271739130434783,0.5380434782608695
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,22,0.5652173913043478,0.5760869565217391
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,23,0.5652173913043478,0.5652173913043478
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,24,0.5706521739130435,0.5760869565217391
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,34,0.5229885057471264,0.5344827586206896
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,30,0.5114942528735632,0.5172413793103449
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,25,0.5172413793103449,0.5229885057471264
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,21,0.5172413793103449,0.5287356321839081
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,22,0.5057471264367817,0.5172413793103449
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,48,0.4817073170731707,0.4817073170731707
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,40,0.5426829268292683,0.5487804878048781
1,GRU,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,35,0.4878048780487805,0.49390243902439024
1,GRU,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,30,0.5060975609756098,0.5060975609756098
1,GRU,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,26,0.5487804878048781,0.5548780487804879
1,GRU,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,55,0.5324675324675324,0.5454545454545454
1,GRU,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,34,0.5064935064935064,0.512987012987013
1,GRU,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,29,0.525974025974026,0.5324675324675324
1,GRU,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,24,0.5,0.512987012987013
1,GRU,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,27,0.5454545454545454,0.551948051948052
1,GRU,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,49,0.5277777777777778,0.5347222222222222
1,GRU,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,38,0.5277777777777778,0.5347222222222222
1,GRU,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,32,0.5208333333333334,0.5208333333333334
1,GRU,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,27,0.4652777777777778,0.4722222222222222
1,GRU,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY DOW30 RSI_one_hot,30,0.5416666666666666,0.5486111111111112
