day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30 SMA_5,9,0.5085470085470085,0.5170940170940171
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30 SMA_5,7,0.47435897435897434,0.4829059829059829
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30 SMA_5,7,0.47435897435897434,0.47863247863247865
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30 SMA_5,7,0.5042735042735043,0.5042735042735043
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30 SMA_5,8,0.5256410256410257,0.5299145299145299
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30 SMA_5,17,0.5133928571428571,0.5178571428571429
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30 SMA_5,16,0.49107142857142855,0.5044642857142857
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30 SMA_5,12,0.5178571428571429,0.5267857142857143
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30 SMA_5,10,0.5089285714285714,0.5089285714285714
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30 SMA_5,7,0.49107142857142855,0.4955357142857143
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30 SMA_5,22,0.5186915887850467,0.5280373831775701
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30 SMA_5,18,0.5186915887850467,0.5233644859813084
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30 SMA_5,21,0.4392523364485981,0.4439252336448598
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30 SMA_5,17,0.48598130841121495,0.49065420560747663
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30 SMA_5,14,0.5046728971962616,0.5093457943925234
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30 SMA_5,28,0.5098039215686274,0.5196078431372549
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30 SMA_5,22,0.5049019607843137,0.5147058823529411
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30 SMA_5,20,0.5245098039215687,0.5343137254901961
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30 SMA_5,21,0.49019607843137253,0.5
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30 SMA_5,18,0.5098039215686274,0.5147058823529411
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30 SMA_5,43,0.4742268041237113,0.4845360824742268
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30 SMA_5,33,0.4948453608247423,0.5051546391752577
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY DOW30 SMA_5,24,0.5103092783505154,0.5103092783505154
