day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,12,0.5321888412017167,0.5407725321888412
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,9,0.47639484978540775,0.48497854077253216
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,8,0.463519313304721,0.463519313304721
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,6,0.45493562231759654,0.463519313304721
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,9,0.5064377682403434,0.5107296137339056
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,21,0.5426008968609866,0.547085201793722
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,15,0.48878923766816146,0.49327354260089684
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.48878923766816146,0.4977578475336323
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,11,0.4439461883408072,0.4484304932735426
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,15,0.484304932735426,0.49327354260089684
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,19,0.5446009389671361,0.5492957746478874
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,24,0.4835680751173709,0.49765258215962443
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,16,0.47417840375586856,0.4788732394366197
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,13,0.48826291079812206,0.49295774647887325
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.4694835680751174,0.4788732394366197
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,30,0.5320197044334976,0.5320197044334976
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,25,0.5369458128078818,0.541871921182266
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,22,0.5172413793103449,0.5270935960591133
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,17,0.47783251231527096,0.47783251231527096
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,18,0.4729064039408867,0.4729064039408867
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,31,0.533678756476684,0.5440414507772021
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot,31,0.49740932642487046,0.5025906735751295
