day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,8,0.4721030042918455,0.47639484978540775
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,8,0.5021459227467812,0.5107296137339056
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,6,0.44635193133047213,0.44635193133047213
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,5,0.5236051502145923,0.5364806866952789
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,7,0.5150214592274678,0.5150214592274678
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,19,0.5112107623318386,0.5246636771300448
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,12,0.4618834080717489,0.4663677130044843
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,10,0.47085201793721976,0.484304932735426
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,8,0.47533632286995514,0.47533632286995514
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,11,0.4977578475336323,0.5067264573991032
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,20,0.49765258215962443,0.5023474178403756
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,15,0.460093896713615,0.4647887323943662
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,10,0.5070422535211268,0.5164319248826291
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,11,0.48826291079812206,0.49295774647887325
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,12,0.49765258215962443,0.5070422535211268
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,19,0.5024630541871922,0.5123152709359606
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,16,0.47783251231527096,0.4827586206896552
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,17,0.43842364532019706,0.4433497536945813
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,14,0.4729064039408867,0.4729064039408867
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,15,0.4876847290640394,0.49261083743842365
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,25,0.533678756476684,0.533678756476684
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,21,0.45595854922279794,0.46113989637305697
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,17,0.48186528497409326,0.49222797927461137
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,17,0.5129533678756477,0.5181347150259067
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,19,0.49740932642487046,0.5077720207253886
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,48,0.5300546448087432,0.5409836065573771
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,27,0.5136612021857924,0.5191256830601093
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,18,0.5136612021857924,0.5191256830601093
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,23,0.48633879781420764,0.4918032786885246
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,25,0.5081967213114754,0.5191256830601093
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,55,0.5317919075144508,0.5433526011560693
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,25,0.5028901734104047,0.5144508670520231
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,26,0.5433526011560693,0.5549132947976878
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,21,0.4682080924855491,0.4797687861271676
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,23,0.5491329479768786,0.5606936416184971
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot,46,0.5153374233128835,0.5214723926380368
