day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,8,0.45643153526970953,0.45643153526970953
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,5,0.4605809128630705,0.46473029045643155
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,5,0.4315352697095436,0.43568464730290457
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,4,0.5145228215767634,0.5145228215767634
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,4,0.43568464730290457,0.43983402489626555
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,12,0.47619047619047616,0.4805194805194805
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,8,0.48917748917748916,0.49783549783549785
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,8,0.5194805194805194,0.5238095238095238
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,9,0.45021645021645024,0.45454545454545453
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,7,0.44155844155844154,0.4458874458874459
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral RSI_one_hot,18,0.4660633484162896,0.47058823529411764
