day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,9,0.5044642857142857,0.5089285714285714
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,7,0.5223214285714286,0.5223214285714286
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,5,0.4732142857142857,0.47767857142857145
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,6,0.5491071428571429,0.5535714285714286
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,6,0.5625,0.5714285714285714
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,14,0.4953271028037383,0.5
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,9,0.514018691588785,0.5233644859813084
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,9,0.5186915887850467,0.5280373831775701
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,8,0.45794392523364486,0.4672897196261682
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,9,0.4672897196261682,0.4719626168224299
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,21,0.5049019607843137,0.5147058823529411
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,13,0.45588235294117646,0.46078431372549017
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,14,0.4852941176470588,0.4950980392156863
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,12,0.5490196078431373,0.5490196078431373
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,12,0.4264705882352941,0.43137254901960786
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,30,0.5257731958762887,0.5360824742268041
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot,17,0.5257731958762887,0.5309278350515464
