day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,11,0.43568464730290457,0.43983402489626555
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,7,0.47717842323651455,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,6,0.5228215767634855,0.5311203319502075
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,8,0.47717842323651455,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,4,0.45228215767634855,0.45643153526970953
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,18,0.4588744588744589,0.46320346320346323
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,14,0.4329004329004329,0.44155844155844154
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,11,0.5108225108225108,0.5108225108225108
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,11,0.47619047619047616,0.4805194805194805
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,12,0.5194805194805194,0.5281385281385281
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,24,0.4479638009049774,0.45248868778280543
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,17,0.4751131221719457,0.4796380090497738
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,15,0.502262443438914,0.5067873303167421
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,15,0.49321266968325794,0.497737556561086
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,15,0.49321266968325794,0.502262443438914
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,33,0.44075829383886256,0.44549763033175355
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,24,0.4928909952606635,0.4976303317535545
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,20,0.44075829383886256,0.45023696682464454
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,19,0.5071090047393365,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,15,0.46445497630331756,0.46919431279620855
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,48,0.47761194029850745,0.47761194029850745
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,30,0.5124378109452736,0.5174129353233831
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,23,0.527363184079602,0.5373134328358209
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,22,0.5124378109452736,0.5174129353233831
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,25,0.4925373134328358,0.4975124378109453
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,94,0.4816753926701571,0.4869109947643979
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,44,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,26,0.5340314136125655,0.5392670157068062
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,29,0.4973821989528796,0.5026178010471204
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,30,0.4973821989528796,0.5026178010471204
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,72,0.5248618784530387,0.5303867403314917
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,46,0.49171270718232046,0.4972375690607735
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,28,0.5469613259668509,0.5524861878453039
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,29,0.5193370165745856,0.5303867403314917
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot,30,0.56353591160221,0.569060773480663
