day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY SMA_5,12,0.4854771784232365,0.4896265560165975
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY SMA_5,8,0.48132780082987553,0.48132780082987553
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY SMA_5,6,0.5352697095435685,0.5394190871369294
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY SMA_5,7,0.5269709543568465,0.5352697095435685
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY SMA_5,9,0.49377593360995853,0.5020746887966805
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY SMA_5,19,0.5151515151515151,0.5194805194805194
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY SMA_5,14,0.45021645021645024,0.45454545454545453
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY SMA_5,11,0.5151515151515151,0.5238095238095238
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY SMA_5,11,0.5411255411255411,0.5497835497835498
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY SMA_5,12,0.47186147186147187,0.47186147186147187
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY SMA_5,26,0.5158371040723982,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY SMA_5,18,0.5067873303167421,0.5158371040723982
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY SMA_5,26,0.47058823529411764,0.4751131221719457
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY SMA_5,15,0.5248868778280543,0.5339366515837104
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY SMA_5,16,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY SMA_5,32,0.5118483412322274,0.5213270142180095
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY SMA_5,23,0.5071090047393365,0.5165876777251185
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY SMA_5,34,0.47393364928909953,0.4834123222748815
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY SMA_5,18,0.4928909952606635,0.5023696682464455
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY SMA_5,24,0.4597156398104265,0.46445497630331756
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY SMA_5,40,0.5223880597014925,0.5323383084577115
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY SMA_5,28,0.4925373134328358,0.4975124378109453
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY SMA_5,40,0.5572139303482587,0.5621890547263682
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY SMA_5,22,0.5174129353233831,0.5223880597014925
