day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,8,0.5104602510460251,0.5146443514644351
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,6,0.5146443514644351,0.5188284518828452
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,5,0.4686192468619247,0.47280334728033474
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,5,0.5313807531380753,0.5397489539748954
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,4,0.4393305439330544,0.4435146443514644
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,13,0.4410480349344978,0.4497816593886463
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,10,0.5545851528384279,0.5589519650655022
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,8,0.5021834061135371,0.5109170305676856
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,8,0.519650655021834,0.5240174672489083
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,7,0.462882096069869,0.4672489082969432
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,18,0.4703196347031963,0.4748858447488584
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,13,0.5342465753424658,0.5388127853881278
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,10,0.4611872146118721,0.4657534246575342
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,11,0.4474885844748858,0.45662100456621
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,12,0.4840182648401826,0.4931506849315068
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,23,0.49282296650717705,0.5023923444976076
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,16,0.5741626794258373,0.5789473684210527
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,13,0.46411483253588515,0.46411483253588515
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,14,0.49282296650717705,0.5023923444976076
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,15,0.49282296650717705,0.5023923444976076
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,32,0.5125628140703518,0.5226130653266332
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,21,0.5125628140703518,0.5175879396984925
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,16,0.5125628140703518,0.5226130653266332
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,17,0.4371859296482412,0.44221105527638194
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,18,0.45226130653266333,0.457286432160804
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,33,0.49206349206349204,0.4973544973544973
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,26,0.5343915343915344,0.5396825396825397
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,18,0.5132275132275133,0.5238095238095238
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,18,0.4497354497354497,0.455026455026455
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,19,0.4603174603174603,0.4603174603174603
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,40,0.553072625698324,0.5642458100558659
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,30,0.5418994413407822,0.553072625698324
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,26,0.5307262569832403,0.5418994413407822
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,21,0.5195530726256983,0.5307262569832403
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot,22,0.5363128491620112,0.547486033519553
