day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY,9,0.5228215767634855,0.5269709543568465
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY,8,0.5020746887966805,0.5020746887966805
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY,7,0.4979253112033195,0.4979253112033195
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY,13,0.4730290456431535,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY,11,0.47717842323651455,0.48132780082987553
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY,17,0.5281385281385281,0.5281385281385281
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY,14,0.5064935064935064,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY,11,0.5454545454545454,0.5497835497835498
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY,17,0.5021645021645021,0.5064935064935064
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY,15,0.47619047619047616,0.4805194805194805
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY,26,0.5158371040723982,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY,19,0.5203619909502263,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY,15,0.5158371040723982,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY,15,0.4841628959276018,0.49321266968325794
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY,16,0.502262443438914,0.5113122171945701
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY,33,0.4976303317535545,0.5071090047393365
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY,24,0.4881516587677725,0.5023696682464455
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY,15,0.4976303317535545,0.5071090047393365
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY,18,0.5023696682464455,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY,31,0.45023696682464454,0.4597156398104265
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY,42,0.5074626865671642,0.5174129353233831
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY,29,0.527363184079602,0.5323383084577115
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY,36,0.5074626865671642,0.5124378109452736
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY,24,0.5223880597014925,0.5323383084577115
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY,25,0.5124378109452736,0.5223880597014925
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_JPY,54,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_JPY,40,0.5026178010471204,0.5130890052356021
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_JPY,34,0.5130890052356021,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_JPY,26,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_JPY,28,0.5130890052356021,0.5235602094240838
