day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,11,0.47717842323651455,0.48132780082987553
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,7,0.4605809128630705,0.4605809128630705
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,6,0.5269709543568465,0.5311203319502075
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,8,0.45643153526970953,0.4605809128630705
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,5,0.44398340248962653,0.44813278008298757
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,17,0.47619047619047616,0.4805194805194805
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,12,0.42424242424242425,0.42857142857142855
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,15,0.47186147186147187,0.47619047619047616
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,11,0.4805194805194805,0.48484848484848486
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,9,0.4675324675324675,0.47186147186147187
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,22,0.4660633484162896,0.47058823529411764
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,16,0.4479638009049774,0.45248868778280543
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,12,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,13,0.4660633484162896,0.47058823529411764
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,13,0.47058823529411764,0.4751131221719457
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot,28,0.4834123222748815,0.4881516587677725
