day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD SMA_5,12,0.49377593360995853,0.49377593360995853
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD SMA_5,8,0.44813278008298757,0.44813278008298757
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD SMA_5,7,0.5020746887966805,0.5062240663900415
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD SMA_5,7,0.45228215767634855,0.45228215767634855
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD SMA_5,11,0.46887966804979253,0.4730290456431535
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD SMA_5,20,0.49783549783549785,0.5021645021645021
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD SMA_5,14,0.44155844155844154,0.4458874458874459
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD SMA_5,12,0.4935064935064935,0.49783549783549785
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD SMA_5,11,0.47186147186147187,0.47186147186147187
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD SMA_5,15,0.4675324675324675,0.47186147186147187
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD SMA_5,27,0.5203619909502263,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD SMA_5,18,0.46153846153846156,0.46153846153846156
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD SMA_5,38,0.4796380090497738,0.4841628959276018
