day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,8,0.5439330543933054,0.5439330543933054
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,6,0.497907949790795,0.502092050209205
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,5,0.4769874476987448,0.4811715481171548
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,5,0.5271966527196653,0.5355648535564853
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,4,0.4309623430962343,0.4351464435146444
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,14,0.5109170305676856,0.5109170305676856
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,10,0.5458515283842795,0.5545851528384279
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,8,0.5283842794759825,0.537117903930131
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,8,0.5633187772925764,0.5633187772925764
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,7,0.4978165938864629,0.5021834061135371
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,18,0.4885844748858447,0.4931506849315068
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,13,0.502283105022831,0.5068493150684932
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,10,0.4748858447488584,0.4794520547945205
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,11,0.4840182648401826,0.4885844748858447
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,12,0.4931506849315068,0.4977168949771689
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,23,0.49282296650717705,0.49760765550239233
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,17,0.5454545454545454,0.5502392344497608
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,14,0.5167464114832536,0.5167464114832536
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,14,0.5215311004784688,0.5263157894736842
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,15,0.49760765550239233,0.5023923444976076
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,33,0.542713567839196,0.5527638190954773
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,21,0.5276381909547738,0.5326633165829145
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,16,0.5276381909547738,0.5376884422110553
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,17,0.4623115577889447,0.46733668341708545
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,18,0.4723618090452261,0.47738693467336685
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,35,0.5238095238095238,0.5291005291005291
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,26,0.5291005291005291,0.5343915343915344
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,18,0.5661375661375662,0.5714285714285714
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot,19,0.48677248677248675,0.48677248677248675
