day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD,15,0.5186721991701245,0.5186721991701245
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD,14,0.45228215767634855,0.45643153526970953
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD,12,0.49377593360995853,0.4979253112033195
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD,14,0.46473029045643155,0.46887966804979253
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD,15,0.43568464730290457,0.43983402489626555
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD,22,0.5584415584415584,0.5670995670995671
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD,20,0.45454545454545453,0.4588744588744589
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD,16,0.5367965367965368,0.5367965367965368
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD,20,0.4588744588744589,0.46320346320346323
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD,24,0.4458874458874459,0.45021645021645024
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD,31,0.5113122171945701,0.5158371040723982
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD,24,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD,20,0.5203619909502263,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD,20,0.4751131221719457,0.4796380090497738
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD,21,0.5067873303167421,0.5113122171945701
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD,40,0.5023696682464455,0.5071090047393365
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD,29,0.46919431279620855,0.4786729857819905
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD,25,0.5071090047393365,0.5165876777251185
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD,25,0.5023696682464455,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD,31,0.46445497630331756,0.46919431279620855
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD,47,0.5074626865671642,0.5124378109452736
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD,35,0.5124378109452736,0.5174129353233831
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD,49,0.5124378109452736,0.5174129353233831
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD,30,0.5373134328358209,0.5422885572139303
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD,37,0.472636815920398,0.472636815920398
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD,65,0.5026178010471204,0.5078534031413613
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_USD,49,0.5287958115183246,0.5340314136125655
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_USD,58,0.5078534031413613,0.5130890052356021
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_USD,34,0.5130890052356021,0.518324607329843
