day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,9,0.4444444444444444,0.452991452991453
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,6,0.46153846153846156,0.4658119658119658
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,5,0.4444444444444444,0.44871794871794873
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,5,0.4444444444444444,0.452991452991453
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,4,0.4230769230769231,0.43162393162393164
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,15,0.49107142857142855,0.4955357142857143
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,10,0.4375,0.4419642857142857
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,8,0.41964285714285715,0.42410714285714285
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,9,0.49107142857142855,0.5
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,7,0.48214285714285715,0.49107142857142855
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,18,0.411214953271028,0.4158878504672897
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,13,0.4205607476635514,0.4252336448598131
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,11,0.4205607476635514,0.4252336448598131
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,11,0.40186915887850466,0.40654205607476634
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,12,0.3925233644859813,0.397196261682243
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot,26,0.46078431372549017,0.46568627450980393
