day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ SMA_5,9,0.5085470085470085,0.5128205128205128
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ SMA_5,6,0.47863247863247865,0.4829059829059829
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ SMA_5,5,0.5042735042735043,0.5128205128205128
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ SMA_5,6,0.44871794871794873,0.44871794871794873
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ SMA_5,7,0.452991452991453,0.46153846153846156
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ SMA_5,13,0.5223214285714286,0.53125
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ SMA_5,10,0.44642857142857145,0.45089285714285715
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ SMA_5,9,0.5,0.5089285714285714
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ SMA_5,8,0.47767857142857145,0.48660714285714285
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ SMA_5,15,0.45535714285714285,0.45982142857142855
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ SMA_5,17,0.49065420560747663,0.4953271028037383
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ SMA_5,13,0.49065420560747663,0.49065420560747663
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ SMA_5,18,0.4439252336448598,0.4485981308411215
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ SMA_5,11,0.40186915887850466,0.40654205607476634
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ SMA_5,11,0.4158878504672897,0.4205607476635514
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ SMA_5,22,0.4803921568627451,0.4852941176470588
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY NASDAQ SMA_5,16,0.4852941176470588,0.49019607843137253
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY NASDAQ SMA_5,13,0.49019607843137253,0.49019607843137253
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY NASDAQ SMA_5,14,0.4803921568627451,0.4803921568627451
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY NASDAQ SMA_5,15,0.4215686274509804,0.4264705882352941
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY NASDAQ SMA_5,31,0.4793814432989691,0.4793814432989691
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY NASDAQ SMA_5,25,0.4845360824742268,0.4896907216494845
