day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,8,0.45493562231759654,0.463519313304721
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,6,0.463519313304721,0.4721030042918455
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,5,0.4721030042918455,0.48068669527896996
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,5,0.5064377682403434,0.5150214592274678
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,4,0.43776824034334766,0.44635193133047213
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,15,0.452914798206278,0.4663677130044843
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,10,0.4484304932735426,0.4618834080717489
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,8,0.45739910313901344,0.4663677130044843
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,9,0.5067264573991032,0.5201793721973094
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,9,0.47533632286995514,0.484304932735426
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,20,0.431924882629108,0.4413145539906103
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,13,0.48826291079812206,0.49765258215962443
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,11,0.4413145539906103,0.4507042253521127
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,12,0.5023474178403756,0.5117370892018779
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,12,0.4131455399061033,0.4225352112676056
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,27,0.45320197044334976,0.458128078817734
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,16,0.458128078817734,0.46798029556650245
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,14,0.4482758620689655,0.45320197044334976
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,14,0.43842364532019706,0.4433497536945813
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot,16,0.458128078817734,0.46798029556650245
