day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ,13,0.5,0.5
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ,8,0.49145299145299143,0.49145299145299143
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ,7,0.5213675213675214,0.5256410256410257
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ,9,0.4658119658119658,0.4658119658119658
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ,9,0.45726495726495725,0.46153846153846156
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ,19,0.5089285714285714,0.5133928571428571
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ,13,0.45089285714285715,0.45982142857142855
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ,11,0.5089285714285714,0.5178571428571429
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ,11,0.45982142857142855,0.4642857142857143
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ,18,0.48660714285714285,0.48660714285714285
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ,24,0.48130841121495327,0.48598130841121495
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ,17,0.4672897196261682,0.4672897196261682
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ,14,0.49065420560747663,0.49065420560747663
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ,14,0.4252336448598131,0.42990654205607476
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ,14,0.4392523364485981,0.4439252336448598
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ,32,0.49019607843137253,0.4950980392156863
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY NASDAQ,22,0.47058823529411764,0.47058823529411764
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY NASDAQ,18,0.4852941176470588,0.49019607843137253
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY NASDAQ,18,0.46568627450980393,0.46568627450980393
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY NASDAQ,19,0.4166666666666667,0.4166666666666667
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY NASDAQ,43,0.5154639175257731,0.5257731958762887
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY NASDAQ,28,0.5103092783505154,0.520618556701031
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY NASDAQ,39,0.4690721649484536,0.4690721649484536
