day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY RSI,9,0.5145228215767634,0.5228215767634855
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY RSI,7,0.5103734439834025,0.5145228215767634
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY RSI,5,0.4730290456431535,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY RSI,11,0.5145228215767634,0.5228215767634855
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY RSI,9,0.5186721991701245,0.5228215767634855
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY RSI,14,0.5064935064935064,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY RSI,11,0.5021645021645021,0.5064935064935064
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY RSI,24,0.5064935064935064,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY RSI,8,0.5064935064935064,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY RSI,12,0.5064935064935064,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY RSI,18,0.502262443438914,0.5113122171945701
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY RSI,22,0.5158371040723982,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY RSI,11,0.48868778280542985,0.497737556561086
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY RSI,15,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY RSI,11,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY RSI,23,0.5023696682464455,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY RSI,19,0.5071090047393365,0.5165876777251185
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY RSI,14,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY RSI,19,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY RSI,25,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY RSI,27,0.5124378109452736,0.5223880597014925
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY RSI,16,0.5124378109452736,0.5223880597014925
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY RSI,22,0.5124378109452736,0.5223880597014925
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY RSI,17,0.5124378109452736,0.5223880597014925
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY RSI,24,0.5522388059701493,0.5572139303482587
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY RSI,40,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY RSI,19,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY RSI,26,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY RSI,58,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY RSI,29,0.5287958115183246,0.5392670157068062
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY RSI,40,0.5138121546961326,0.5248618784530387
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY RSI,29,0.5138121546961326,0.5248618784530387
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY RSI,21,0.5138121546961326,0.5248618784530387
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY RSI,28,0.5138121546961326,0.5248618784530387
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY RSI,21,0.47513812154696133,0.47513812154696133
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY RSI,39,0.5146198830409356,0.5263157894736842
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY RSI,22,0.5146198830409356,0.5263157894736842
