day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY RSI_one_hot,8,0.5186721991701245,0.5186721991701245
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY RSI_one_hot,7,0.5518672199170125,0.5560165975103735
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY RSI_one_hot,5,0.49377593360995853,0.49377593360995853
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY RSI_one_hot,4,0.46473029045643155,0.46887966804979253
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY RSI_one_hot,4,0.4730290456431535,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY RSI_one_hot,15,0.5151515151515151,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY RSI_one_hot,10,0.46320346320346323,0.4675324675324675
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY RSI_one_hot,8,0.5324675324675324,0.5367965367965368
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY RSI_one_hot,12,0.46320346320346323,0.4675324675324675
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY RSI_one_hot,11,0.45021645021645024,0.45454545454545453
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY RSI_one_hot,17,0.45248868778280543,0.45248868778280543
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY RSI_one_hot,12,0.49321266968325794,0.49321266968325794
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY RSI_one_hot,10,0.49321266968325794,0.497737556561086
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY RSI_one_hot,16,0.45248868778280543,0.45701357466063347
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY RSI_one_hot,9,0.49321266968325794,0.497737556561086
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY RSI_one_hot,25,0.4928909952606635,0.4928909952606635
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY RSI_one_hot,17,0.5118483412322274,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY RSI_one_hot,13,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY RSI_one_hot,21,0.46445497630331756,0.46919431279620855
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY RSI_one_hot,22,0.43601895734597157,0.44075829383886256
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY RSI_one_hot,32,0.5621890547263682,0.5671641791044776
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY RSI_one_hot,20,0.5124378109452736,0.5124378109452736
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY RSI_one_hot,16,0.5373134328358209,0.5422885572139303
