day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,8,0.45643153526970953,0.4605809128630705
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,5,0.46473029045643155,0.46887966804979253
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,5,0.5228215767634855,0.5269709543568465
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,4,0.4730290456431535,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,4,0.49377593360995853,0.4979253112033195
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,11,0.49783549783549785,0.5021645021645021
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,8,0.5454545454545454,0.5454545454545454
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,8,0.47186147186147187,0.47619047619047616
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,6,0.5324675324675324,0.5411255411255411
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,7,0.4935064935064935,0.4935064935064935
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,17,0.4660633484162896,0.47058823529411764
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,10,0.5067873303167421,0.5067873303167421
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,11,0.4796380090497738,0.4796380090497738
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,11,0.497737556561086,0.497737556561086
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,9,0.4434389140271493,0.4479638009049774
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,19,0.5402843601895735,0.5402843601895735
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,13,0.5118483412322274,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,13,0.46919431279620855,0.47393364928909953
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,14,0.4549763033175355,0.4597156398104265
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,11,0.46919431279620855,0.46919431279620855
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,28,0.48756218905472637,0.48756218905472637
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,16,0.5174129353233831,0.527363184079602
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,16,0.5522388059701493,0.5572139303482587
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,17,0.4925373134328358,0.5024875621890548
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,13,0.47761194029850745,0.47761194029850745
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,33,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,24,0.5130890052356021,0.5235602094240838
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,20,0.5235602094240838,0.5287958115183246
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,20,0.5026178010471204,0.5130890052356021
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,16,0.5759162303664922,0.581151832460733
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,35,0.585635359116022,0.5911602209944752
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,25,0.585635359116022,0.5911602209944752
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,20,0.585635359116022,0.5911602209944752
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,21,0.5193370165745856,0.5303867403314917
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,23,0.5193370165745856,0.5303867403314917
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,39,0.5321637426900585,0.543859649122807
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral RSI_one_hot,28,0.543859649122807,0.5555555555555556
