day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,8,0.5062240663900415,0.5062240663900415
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,5,0.4605809128630705,0.46473029045643155
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,5,0.5767634854771784,0.5809128630705395
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,4,0.48132780082987553,0.4854771784232365
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,4,0.46887966804979253,0.4730290456431535
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,14,0.4588744588744589,0.46320346320346323
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,10,0.4935064935064935,0.4935064935064935
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,8,0.5541125541125541,0.5584415584415584
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,6,0.5064935064935064,0.5151515151515151
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,7,0.48917748917748916,0.48917748917748916
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,18,0.48868778280542985,0.49321266968325794
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,13,0.48868778280542985,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,10,0.5113122171945701,0.5203619909502263
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,11,0.5203619909502263,0.5203619909502263
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,12,0.502262443438914,0.5113122171945701
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5 RSI_one_hot,23,0.4786729857819905,0.4834123222748815
