day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5,8,0.5601659751037344,0.5643153526970954
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5,6,0.5518672199170125,0.5518672199170125
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5,5,0.5311203319502075,0.5311203319502075
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5,6,0.46887966804979253,0.4730290456431535
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5,7,0.5352697095435685,0.5435684647302904
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5,11,0.5281385281385281,0.5367965367965368
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5,10,0.5238095238095238,0.5281385281385281
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5,8,0.5194805194805194,0.5281385281385281
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5,10,0.4805194805194805,0.48484848484848486
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5,13,0.4805194805194805,0.48484848484848486
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5,17,0.5113122171945701,0.5203619909502263
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5,12,0.5158371040723982,0.5203619909502263
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5,10,0.5067873303167421,0.5158371040723982
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5,11,0.497737556561086,0.5067873303167421
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5,14,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5,22,0.5071090047393365,0.5165876777251185
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY SMA_5,16,0.4976303317535545,0.5071090047393365
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY SMA_5,20,0.4881516587677725,0.4928909952606635
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY SMA_5,14,0.5071090047393365,0.5165876777251185
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY SMA_5,18,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY SMA_5,27,0.5174129353233831,0.527363184079602
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY SMA_5,20,0.5323383084577115,0.5422885572139303
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY SMA_5,24,0.4626865671641791,0.4626865671641791
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY SMA_5,17,0.5323383084577115,0.5323383084577115
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY SMA_5,22,0.5074626865671642,0.5074626865671642
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY SMA_5,33,0.5026178010471204,0.5130890052356021
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY SMA_5,28,0.5026178010471204,0.5130890052356021
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY SMA_5,34,0.5759162303664922,0.5863874345549738
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY SMA_5,20,0.5130890052356021,0.5235602094240838
