day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,8,0.5269709543568465,0.5269709543568465
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,6,0.4730290456431535,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,5,0.5643153526970954,0.5643153526970954
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,5,0.5103734439834025,0.5103734439834025
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,6,0.5062240663900415,0.5145228215767634
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,14,0.45021645021645024,0.45454545454545453
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,10,0.48917748917748916,0.48917748917748916
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,8,0.5021645021645021,0.5021645021645021
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,8,0.4805194805194805,0.48484848484848486
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,9,0.5108225108225108,0.5108225108225108
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,20,0.5203619909502263,0.5248868778280543
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,12,0.5339366515837104,0.5339366515837104
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,10,0.497737556561086,0.5067873303167421
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,11,0.5067873303167421,0.5113122171945701
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,12,0.497737556561086,0.502262443438914
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,23,0.4786729857819905,0.4834123222748815
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,17,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,14,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,14,0.5402843601895735,0.5450236966824644
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,23,0.5118483412322274,0.5165876777251185
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,33,0.5522388059701493,0.5572139303482587
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,24,0.5472636815920398,0.5472636815920398
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,17,0.5472636815920398,0.5572139303482587
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,17,0.5373134328358209,0.5422885572139303
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,18,0.527363184079602,0.5323383084577115
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,43,0.5078534031413613,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,34,0.45549738219895286,0.45549738219895286
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,25,0.5130890052356021,0.518324607329843
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,20,0.5445026178010471,0.5445026178010471
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot,22,0.4869109947643979,0.4869109947643979
