day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,14,0.4977973568281938,0.5022026431718062
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,8,0.47577092511013214,0.4801762114537445
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,6,0.5418502202643172,0.5462555066079295
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,7,0.5022026431718062,0.5022026431718062
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,6,0.5330396475770925,0.5374449339207048
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,19,0.4792626728110599,0.48847926267281105
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,12,0.5069124423963134,0.5161290322580645
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,10,0.46543778801843316,0.4700460829493088
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,10,0.4792626728110599,0.4838709677419355
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,10,0.4930875576036866,0.5023041474654378
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,27,0.463768115942029,0.47342995169082125
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,17,0.5072463768115942,0.5169082125603864
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,13,0.5458937198067633,0.5555555555555556
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,14,0.5072463768115942,0.5169082125603864
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,14,0.5314009661835749,0.5410628019323671
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,35,0.5177664974619289,0.5228426395939086
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,22,0.49238578680203043,0.49746192893401014
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,22,0.5076142131979695,0.5126903553299492
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,18,0.4720812182741117,0.4720812182741117
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,19,0.5279187817258884,0.5329949238578681
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,42,0.5347593582887701,0.5401069518716578
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,30,0.48663101604278075,0.4919786096256685
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,24,0.5187165775401069,0.5294117647058824
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,19,0.5133689839572193,0.5133689839572193
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,20,0.5294117647058824,0.5401069518716578
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,55,0.5423728813559322,0.5480225988700564
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,33,0.4745762711864407,0.480225988700565
