day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX SMA_5,8,0.5506607929515418,0.5550660792951542
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX SMA_5,6,0.4889867841409692,0.4889867841409692
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX SMA_5,5,0.5286343612334802,0.5330396475770925
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX SMA_5,5,0.5418502202643172,0.5462555066079295
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX SMA_5,5,0.4889867841409692,0.4933920704845815
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX SMA_5,12,0.5207373271889401,0.5253456221198156
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX SMA_5,9,0.511520737327189,0.5207373271889401
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX SMA_5,13,0.511520737327189,0.5207373271889401
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX SMA_5,8,0.5023041474654378,0.5069124423963134
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX SMA_5,8,0.5529953917050692,0.5529953917050692
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX SMA_5,17,0.5314009661835749,0.5362318840579711
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX SMA_5,13,0.5072463768115942,0.5169082125603864
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX SMA_5,13,0.4927536231884058,0.4975845410628019
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX SMA_5,11,0.5120772946859904,0.5217391304347826
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX SMA_5,12,0.5169082125603864,0.5265700483091788
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX SMA_5,25,0.5482233502538071,0.5532994923857868
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX SMA_5,19,0.5126903553299492,0.5177664974619289
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX SMA_5,17,0.4873096446700508,0.49238578680203043
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX SMA_5,14,0.5736040609137056,0.583756345177665
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX SMA_5,15,0.5380710659898477,0.5431472081218274
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX SMA_5,28,0.5240641711229946,0.5347593582887701
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX SMA_5,22,0.5454545454545454,0.5508021390374331
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX SMA_5,18,0.5240641711229946,0.5347593582887701
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX SMA_5,27,0.5240641711229946,0.5294117647058824
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX SMA_5,17,0.5508021390374331,0.5561497326203209
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX SMA_5,33,0.5084745762711864,0.519774011299435
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX SMA_5,25,0.519774011299435,0.5254237288135594
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX SMA_5,22,0.5536723163841808,0.5649717514124294
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX SMA_5,32,0.5254237288135594,0.536723163841808
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX SMA_5,19,0.5084745762711864,0.519774011299435
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX SMA_5,43,0.5209580838323353,0.5269461077844312
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX SMA_5,29,0.5209580838323353,0.5269461077844312
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX SMA_5,25,0.47904191616766467,0.48502994011976047
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY TOPIX SMA_5,37,0.49101796407185627,0.49700598802395207
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY TOPIX SMA_5,22,0.5209580838323353,0.5329341317365269
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY TOPIX SMA_5,48,0.5159235668789809,0.5286624203821656
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY TOPIX SMA_5,34,0.49044585987261147,0.4968152866242038
1,GRU,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY TOPIX SMA_5,30,0.535031847133758,0.5414012738853503
1,GRU,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY TOPIX SMA_5,26,0.45222929936305734,0.4585987261146497
1,GRU,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY TOPIX SMA_5,28,0.5222929936305732,0.535031847133758
1,GRU,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY TOPIX SMA_5,53,0.5238095238095238,0.5306122448979592
1,GRU,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY TOPIX SMA_5,38,0.5170068027210885,0.5170068027210885
