day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,9,0.5133928571428571,0.5223214285714286
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,6,0.53125,0.5401785714285714
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,5,0.47767857142857145,0.48660714285714285
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,5,0.6071428571428571,0.6071428571428571
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,5,0.45089285714285715,0.45982142857142855
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,13,0.48598130841121495,0.5
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,9,0.5327102803738317,0.5420560747663551
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,8,0.5373831775700935,0.5467289719626168
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,8,0.4953271028037383,0.5046728971962616
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,9,0.45794392523364486,0.4672897196261682
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,21,0.4411764705882353,0.45098039215686275
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.45098039215686275,0.45588235294117646
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,11,0.47058823529411764,0.4803921568627451
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,11,0.47058823529411764,0.47058823529411764
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,12,0.5196078431372549,0.5245098039215687
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,28,0.4845360824742268,0.4948453608247423
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,18,0.5670103092783505,0.5721649484536082
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.5463917525773195,0.5567010309278351
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,15,0.4381443298969072,0.44329896907216493
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,16,0.5463917525773195,0.5567010309278351
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,30,0.42934782608695654,0.43478260869565216
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,25,0.532608695652174,0.5380434782608695
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,20,0.5760869565217391,0.5869565217391305
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,16,0.4782608695652174,0.483695652173913
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,18,0.4945652173913043,0.5
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,40,0.47126436781609193,0.47701149425287354
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,28,0.4885057471264368,0.4942528735632184
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,19,0.5747126436781609,0.5862068965517241
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,20,0.43103448275862066,0.43103448275862066
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,20,0.5057471264367817,0.5114942528735632
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot,42,0.4695121951219512,0.47560975609756095
