day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,8,0.5535714285714286,0.5669642857142857
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,6,0.5223214285714286,0.53125
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,5,0.49107142857142855,0.4955357142857143
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,5,0.5401785714285714,0.5491071428571429
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,6,0.5178571428571429,0.5267857142857143
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,14,0.5373831775700935,0.5467289719626168
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,9,0.5327102803738317,0.5420560747663551
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,7,0.5046728971962616,0.514018691588785
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,8,0.5794392523364486,0.5841121495327103
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,9,0.49065420560747663,0.5
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,20,0.4803921568627451,0.49019607843137253
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,12,0.47549019607843135,0.4852941176470588
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,10,0.46568627450980393,0.47549019607843135
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,11,0.5392156862745098,0.5490196078431373
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,12,0.47549019607843135,0.49019607843137253
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,26,0.4948453608247423,0.5051546391752577
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,16,0.5,0.5051546391752577
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,14,0.4536082474226804,0.4587628865979381
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,14,0.5,0.5103092783505154
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot,15,0.4948453608247423,0.5051546391752577
