day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX,35,0.5418502202643172,0.5462555066079295
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX,31,0.5154185022026432,0.5154185022026432
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX,29,0.4845814977973568,0.4933920704845815
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX,30,0.5506607929515418,0.5594713656387665
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX,32,0.5198237885462555,0.5286343612334802
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX,42,0.5023041474654378,0.511520737327189
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX,36,0.5207373271889401,0.5299539170506913
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX,43,0.511520737327189,0.5161290322580645
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX,34,0.5391705069124424,0.543778801843318
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX,35,0.5253456221198156,0.5299539170506913
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX,51,0.5169082125603864,0.5217391304347826
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX,43,0.5169082125603864,0.5265700483091788
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX,40,0.5362318840579711,0.5458937198067633
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX,41,0.5217391304347826,0.5314009661835749
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX,40,0.4975845410628019,0.5072463768115942
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX,65,0.5329949238578681,0.5380710659898477
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX,56,0.4873096446700508,0.4873096446700508
