day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,12,0.46255506607929514,0.46255506607929514
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,8,0.5066079295154186,0.5110132158590308
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,6,0.4889867841409692,0.4933920704845815
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,7,0.5242290748898678,0.5330396475770925
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,5,0.46255506607929514,0.4669603524229075
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,17,0.5069124423963134,0.5161290322580645
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,12,0.45622119815668205,0.4608294930875576
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,10,0.5253456221198156,0.5345622119815668
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,10,0.47465437788018433,0.4792626728110599
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,10,0.4976958525345622,0.5069124423963134
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,25,0.463768115942029,0.47342995169082125
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,17,0.463768115942029,0.46859903381642515
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,14,0.4782608695652174,0.4830917874396135
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,15,0.4927536231884058,0.5024154589371981
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,15,0.4492753623188406,0.45410628019323673
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,37,0.5279187817258884,0.5329949238578681
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,23,0.5431472081218274,0.5482233502538071
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,18,0.5380710659898477,0.5431472081218274
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,18,0.5532994923857868,0.5634517766497462
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,19,0.5076142131979695,0.5177664974619289
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,40,0.5294117647058824,0.5347593582887701
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,30,0.45454545454545453,0.45989304812834225
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,25,0.5080213903743316,0.5133689839572193
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,21,0.5508021390374331,0.5561497326203209
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,22,0.49732620320855614,0.5026737967914439
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,46,0.480225988700565,0.4858757062146893
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,37,0.480225988700565,0.4858757062146893
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,30,0.5028248587570622,0.5084745762711864
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,25,0.5141242937853108,0.519774011299435
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,25,0.5649717514124294,0.5706214689265536
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,62,0.49700598802395207,0.5029940119760479
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,41,0.47305389221556887,0.47305389221556887
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,27,0.562874251497006,0.5688622754491018
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,27,0.5269461077844312,0.5329341317365269
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,28,0.5209580838323353,0.5329341317365269
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,59,0.5031847133757962,0.5095541401273885
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,40,0.49044585987261147,0.4968152866242038
1,GRU,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY nikkei RSI_one_hot,35,0.5159235668789809,0.5286624203821656
1,GRU,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY nikkei RSI_one_hot,28,0.4968152866242038,0.5031847133757962
1,GRU,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY nikkei RSI_one_hot,28,0.5031847133757962,0.5095541401273885
1,GRU,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY nikkei RSI_one_hot,69,0.5034013605442177,0.5034013605442177
1,GRU,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY nikkei RSI_one_hot,53,0.47619047619047616,0.47619047619047616
