day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei SMA_5,12,0.5418502202643172,0.5506607929515418
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei SMA_5,8,0.5242290748898678,0.5242290748898678
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei SMA_5,6,0.5242290748898678,0.5286343612334802
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei SMA_5,7,0.5594713656387665,0.5682819383259912
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei SMA_5,7,0.5198237885462555,0.5242290748898678
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei SMA_5,19,0.543778801843318,0.5483870967741935
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei SMA_5,12,0.5345622119815668,0.543778801843318
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei SMA_5,18,0.5345622119815668,0.543778801843318
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei SMA_5,10,0.5391705069124424,0.543778801843318
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei SMA_5,11,0.5069124423963134,0.5161290322580645
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei SMA_5,28,0.48792270531400966,0.4975845410628019
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei SMA_5,21,0.4444444444444444,0.4492753623188406
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei SMA_5,17,0.4830917874396135,0.48792270531400966
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei SMA_5,15,0.5120772946859904,0.5217391304347826
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei SMA_5,15,0.4927536231884058,0.4975845410628019
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei SMA_5,37,0.5329949238578681,0.5380710659898477
