day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,10,0.4955357142857143,0.5044642857142857
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,6,0.5446428571428571,0.5491071428571429
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,5,0.4955357142857143,0.5044642857142857
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,5,0.5446428571428571,0.5535714285714286
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,5,0.4642857142857143,0.46875
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.514018691588785,0.5233644859813084
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,10,0.45794392523364486,0.46261682242990654
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,8,0.49065420560747663,0.5046728971962616
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,8,0.5280373831775701,0.5373831775700935
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,9,0.514018691588785,0.5233644859813084
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,18,0.5147058823529411,0.5245098039215687
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,13,0.5343137254901961,0.5490196078431373
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,11,0.5049019607843137,0.5147058823529411
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,11,0.5294117647058824,0.5392156862745098
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,12,0.5490196078431373,0.553921568627451
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,28,0.5103092783505154,0.5154639175257731
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,18,0.5618556701030928,0.5721649484536082
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.4536082474226804,0.4587628865979381
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,14,0.4896907216494845,0.5
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot,15,0.5309278350515464,0.5412371134020618
