day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei,24,0.5110132158590308,0.5198237885462555
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei,21,0.5198237885462555,0.5198237885462555
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei,19,0.5110132158590308,0.5154185022026432
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei,21,0.5374449339207048,0.5418502202643172
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei,27,0.4933920704845815,0.4933920704845815
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei,31,0.5207373271889401,0.5299539170506913
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei,26,0.543778801843318,0.543778801843318
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei,32,0.5299539170506913,0.5391705069124424
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei,24,0.543778801843318,0.5529953917050692
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei,24,0.511520737327189,0.5161290322580645
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei,43,0.48792270531400966,0.4975845410628019
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei,32,0.5120772946859904,0.5217391304347826
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei,32,0.5458937198067633,0.5507246376811594
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei,28,0.463768115942029,0.47342995169082125
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei,30,0.5024154589371981,0.5072463768115942
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei,53,0.5532994923857868,0.5583756345177665
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei,38,0.5482233502538071,0.5532994923857868
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei,39,0.5482233502538071,0.5532994923857868
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei,33,0.5177664974619289,0.5279187817258884
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei,34,0.5380710659898477,0.5380710659898477
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY nikkei,63,0.5240641711229946,0.5294117647058824
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY nikkei,47,0.5668449197860963,0.5721925133689839
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY nikkei,41,0.48663101604278075,0.4919786096256685
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY nikkei,36,0.5454545454545454,0.5561497326203209
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY nikkei,37,0.5454545454545454,0.5508021390374331
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY nikkei,73,0.4915254237288136,0.4971751412429379
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY nikkei,55,0.5706214689265536,0.576271186440678
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY nikkei,45,0.5536723163841808,0.559322033898305
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY nikkei,60,0.5423728813559322,0.5480225988700564
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY nikkei,42,0.519774011299435,0.5254237288135594
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY nikkei,85,0.5089820359281437,0.5149700598802395
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY nikkei,60,0.47305389221556887,0.47904191616766467
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY nikkei,52,0.49101796407185627,0.49700598802395207
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY nikkei,53,0.5508982035928144,0.5568862275449101
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY nikkei,45,0.49700598802395207,0.5089820359281437
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY nikkei,82,0.49044585987261147,0.5031847133757962
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY nikkei,68,0.5031847133757962,0.5095541401273885
1,GRU,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY nikkei,51,0.5159235668789809,0.5286624203821656
1,GRU,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY nikkei,53,0.4713375796178344,0.47770700636942676
1,GRU,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY nikkei,55,0.49044585987261147,0.4968152866242038
1,GRU,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY nikkei,100,0.5238095238095238,0.5306122448979592
1,GRU,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY nikkei,73,0.5102040816326531,0.5102040816326531
1,GRU,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY nikkei,56,0.48299319727891155,0.48299319727891155
1,GRU,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY nikkei,59,0.48299319727891155,0.48299319727891155
1,GRU,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY nikkei,63,0.46938775510204084,0.46938775510204084
1,GRU,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY nikkei,108,0.5036496350364964,0.5109489051094891
1,GRU,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY nikkei,80,0.5401459854014599,0.5401459854014599
1,GRU,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY nikkei,74,0.5109489051094891,0.5109489051094891
1,GRU,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY nikkei,64,0.45255474452554745,0.45255474452554745
1,GRU,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY nikkei,71,0.5109489051094891,0.5109489051094891
