day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,9,0.49372384937238495,0.497907949790795
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,6,0.4560669456066946,0.4602510460251046
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,5,0.5397489539748954,0.5439330543933054
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,5,0.5062761506276151,0.5146443514644351
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,6,0.5271966527196653,0.5355648535564853
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,15,0.5327510917030568,0.5327510917030568
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,10,0.5502183406113537,0.5589519650655022
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,8,0.5633187772925764,0.5720524017467249
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,8,0.5502183406113537,0.5545851528384279
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,7,0.519650655021834,0.5283842794759825
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,20,0.5388127853881278,0.547945205479452
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,13,0.4611872146118721,0.4611872146118721
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,10,0.5205479452054794,0.5296803652968036
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,11,0.5205479452054794,0.5296803652968036
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,12,0.5205479452054794,0.5251141552511416
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,26,0.5550239234449761,0.5645933014354066
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,17,0.5741626794258373,0.583732057416268
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,13,0.5454545454545454,0.5550239234449761
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,14,0.45933014354066987,0.45933014354066987
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,15,0.47368421052631576,0.4784688995215311
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,32,0.5276381909547738,0.5376884422110553
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,21,0.5326633165829145,0.5376884422110553
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,17,0.5276381909547738,0.5376884422110553
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot,17,0.49246231155778897,0.49748743718592964
