day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,15,0.5606694560669456,0.5690376569037657
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,9,0.5606694560669456,0.5648535564853556
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,8,0.5355648535564853,0.5397489539748954
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,11,0.48535564853556484,0.48535564853556484
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,11,0.5481171548117155,0.5564853556485355
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,24,0.5152838427947598,0.5240174672489083
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,17,0.537117903930131,0.5414847161572053
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,14,0.5895196506550219,0.5982532751091703
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,18,0.4978165938864629,0.4978165938864629
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,19,0.537117903930131,0.5414847161572053
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,34,0.5342465753424658,0.54337899543379
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,26,0.4840182648401826,0.4885844748858447
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,18,0.5205479452054794,0.5296803652968036
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,25,0.502283105022831,0.5114155251141552
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,25,0.5296803652968036,0.5342465753424658
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,45,0.5119617224880383,0.5215311004784688
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,28,0.5598086124401914,0.5645933014354066
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,31,0.5263157894736842,0.5358851674641149
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,33,0.49760765550239233,0.5023923444976076
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,33,0.49282296650717705,0.49760765550239233
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,55,0.507537688442211,0.5175879396984925
1,GRU,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,41,0.5125628140703518,0.5175879396984925
1,GRU,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,36,0.46733668341708545,0.4723618090452261
1,GRU,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,37,0.4623115577889447,0.46733668341708545
1,GRU,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,37,0.507537688442211,0.507537688442211
1,GRU,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,63,0.5238095238095238,0.5343915343915344
1,GRU,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,39,0.5555555555555556,0.5661375661375662
1,GRU,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,37,0.5343915343915344,0.544973544973545
1,GRU,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,40,0.5396825396825397,0.5502645502645502
1,GRU,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,40,0.5079365079365079,0.5132275132275133
1,GRU,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,73,0.5363128491620112,0.5418994413407822
1,GRU,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,46,0.5307262569832403,0.5418994413407822
1,GRU,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,44,0.5754189944134078,0.5865921787709497
1,GRU,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,47,0.5418994413407822,0.547486033519553
1,GRU,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,49,0.5418994413407822,0.553072625698324
1,GRU,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,82,0.5443786982248521,0.5562130177514792
1,GRU,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,53,0.5384615384615384,0.5502958579881657
1,GRU,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,50,0.5443786982248521,0.5502958579881657
1,GRU,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,51,0.47337278106508873,0.47928994082840237
1,GRU,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,57,0.48520710059171596,0.4911242603550296
1,GRU,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,90,0.5157232704402516,0.5283018867924528
1,GRU,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,61,0.5157232704402516,0.5220125786163522
1,GRU,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,48,0.5408805031446541,0.5534591194968553
1,GRU,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,70,0.4968553459119497,0.5031446540880503
1,GRU,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,78,0.4968553459119497,0.5031446540880503
1,GRU,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY treasury_10 SMA_5,99,0.5100671140939598,0.5167785234899329
1,GRU,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY treasury_10 SMA_5,68,0.5234899328859061,0.5302013422818792
1,GRU,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY treasury_10 SMA_5,53,0.5302013422818792,0.5369127516778524
1,GRU,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY treasury_10 SMA_5,82,0.5436241610738255,0.5436241610738255
1,GRU,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY treasury_10 SMA_5,88,0.5436241610738255,0.5503355704697986
