day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,11,0.5230125523012552,0.5313807531380753
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,8,0.4769874476987448,0.4811715481171548
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,7,0.4811715481171548,0.48535564853556484
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,7,0.5271966527196653,0.5355648535564853
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,6,0.47280334728033474,0.47280334728033474
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,20,0.462882096069869,0.47161572052401746
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,14,0.4672489082969432,0.47161572052401746
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,12,0.5327510917030568,0.5414847161572053
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,12,0.4978165938864629,0.4978165938864629
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,9,0.5327510917030568,0.5414847161572053
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,27,0.4703196347031963,0.4794520547945205
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,19,0.5251141552511416,0.5342465753424658
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,15,0.45662100456621,0.45662100456621
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,15,0.5616438356164384,0.5662100456621004
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,16,0.5068493150684932,0.5114155251141552
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,35,0.507177033492823,0.5167464114832536
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,24,0.5454545454545454,0.5502392344497608
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,20,0.5215311004784688,0.5215311004784688
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,20,0.5502392344497608,0.5598086124401914
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,21,0.47368421052631576,0.4784688995215311
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 BB_one_hot_neutral RSI_one_hot,48,0.5326633165829145,0.542713567839196
