day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,12,0.5439330543933054,0.5523012552301255
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,8,0.4769874476987448,0.4811715481171548
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,7,0.5313807531380753,0.5397489539748954
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,7,0.5230125523012552,0.5313807531380753
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,7,0.5523012552301255,0.5606694560669456
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,22,0.47161572052401746,0.4759825327510917
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,14,0.5152838427947598,0.519650655021834
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,11,0.5589519650655022,0.5676855895196506
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,11,0.5589519650655022,0.5676855895196506
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,12,0.5327510917030568,0.5414847161572053
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,29,0.5068493150684932,0.5068493150684932
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,17,0.5525114155251142,0.5525114155251142
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,14,0.5251141552511416,0.5296803652968036
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,15,0.5159817351598174,0.5251141552511416
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot,15,0.5159817351598174,0.5251141552511416
