day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,GRU,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY,11,0.5477178423236515,0.5477178423236515
1,GRU,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY,11,0.5062240663900415,0.5062240663900415
1,GRU,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY,7,0.45643153526970953,0.4605809128630705
1,GRU,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY,9,0.5269709543568465,0.5269709543568465
1,GRU,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY,11,0.4730290456431535,0.47717842323651455
1,GRU,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY,16,0.5541125541125541,0.5541125541125541
1,GRU,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY,13,0.5151515151515151,0.5194805194805194
1,GRU,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY,11,0.5454545454545454,0.5541125541125541
1,GRU,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY,14,0.48484848484848486,0.48917748917748916
1,GRU,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY,15,0.47619047619047616,0.4805194805194805
1,GRU,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY,24,0.5384615384615384,0.5475113122171946
1,GRU,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY,17,0.5203619909502263,0.5294117647058824
1,GRU,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY,14,0.502262443438914,0.5113122171945701
1,GRU,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY,14,0.5067873303167421,0.5158371040723982
1,GRU,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY,23,0.4841628959276018,0.48868778280542985
1,GRU,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY,26,0.4976303317535545,0.5071090047393365
1,GRU,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY,22,0.4976303317535545,0.5071090047393365
1,GRU,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY,17,0.5355450236966824,0.5450236966824644
1,GRU,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY,19,0.5023696682464455,0.5118483412322274
1,GRU,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY,30,0.4834123222748815,0.4881516587677725
1,GRU,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY,38,0.5174129353233831,0.527363184079602
