day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff BB,19,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff BB,11,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff BB,8,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff BB,5,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff BB,14,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff BB,28,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff BB,26,0.46320346320346323,0.4675324675324675
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff BB,17,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff BB,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff BB,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff BB,9,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff BB,39,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff BB,15,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff BB,10,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff BB,30,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff BB,54,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff BB,15,0.4834123222748815,0.4881516587677725
