day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff DOW30,9,0.49145299145299143,0.5
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff DOW30,8,0.5128205128205128,0.5213675213675214
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff DOW30,7,0.5256410256410257,0.5341880341880342
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff DOW30,5,0.5170940170940171,0.5256410256410257
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff DOW30,5,0.5042735042735043,0.5128205128205128
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff DOW30,18,0.5178571428571429,0.5267857142857143
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff DOW30,14,0.4642857142857143,0.46875
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff DOW30,12,0.47767857142857145,0.49107142857142855
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff DOW30,8,0.5089285714285714,0.5089285714285714
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff DOW30,8,0.5089285714285714,0.5178571428571429
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff DOW30,23,0.411214953271028,0.4205607476635514
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff DOW30,18,0.49065420560747663,0.5046728971962616
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff DOW30,15,0.48130841121495327,0.48598130841121495
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff DOW30,13,0.514018691588785,0.5186915887850467
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff DOW30,14,0.48598130841121495,0.49065420560747663
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff DOW30,31,0.5,0.5098039215686274
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff DOW30,23,0.49019607843137253,0.4950980392156863
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff DOW30,20,0.5,0.5049019607843137
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff DOW30,17,0.47549019607843135,0.47549019607843135
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff DOW30,13,0.5,0.5049019607843137
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff DOW30,44,0.4639175257731959,0.4742268041237113
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff DOW30,24,0.4793814432989691,0.4793814432989691
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff DOW30,24,0.5,0.5051546391752577
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff DOW30,20,0.5,0.5051546391752577
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff DOW30,16,0.4896907216494845,0.4896907216494845
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff DOW30,46,0.46195652173913043,0.47282608695652173
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff DOW30,31,0.5271739130434783,0.5380434782608695
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff DOW30,21,0.5,0.5108695652173914
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff DOW30,27,0.5054347826086957,0.5163043478260869
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff DOW30,23,0.5108695652173914,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff DOW30,47,0.4942528735632184,0.5057471264367817
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff DOW30,36,0.4885057471264368,0.5
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff DOW30,30,0.4482758620689655,0.45977011494252873
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff DOW30,25,0.5114942528735632,0.5229885057471264
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff DOW30,28,0.4827586206896552,0.4827586206896552
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff DOW30,61,0.42073170731707316,0.4268292682926829
