day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff EUR_JPY,8,0.5062240663900415,0.5103734439834025
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff EUR_JPY,6,0.48132780082987553,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff EUR_JPY,7,0.45643153526970953,0.4605809128630705
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff EUR_JPY,5,0.48132780082987553,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff EUR_JPY,5,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff EUR_JPY,12,0.4805194805194805,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff EUR_JPY,10,0.5151515151515151,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff EUR_JPY,12,0.49783549783549785,0.5064935064935064
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff EUR_JPY,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff EUR_JPY,11,0.4588744588744589,0.46320346320346323
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff EUR_JPY,18,0.4751131221719457,0.4796380090497738
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff EUR_JPY,13,0.5158371040723982,0.5248868778280543
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff EUR_JPY,13,0.5248868778280543,0.5294117647058824
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff EUR_JPY,16,0.48868778280542985,0.49321266968325794
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff EUR_JPY,11,0.48868778280542985,0.497737556561086
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff EUR_JPY,23,0.45023696682464454,0.4549763033175355
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff EUR_JPY,16,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff EUR_JPY,16,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff EUR_JPY,22,0.47393364928909953,0.4834123222748815
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff EUR_JPY,22,0.4881516587677725,0.5023696682464455
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff EUR_JPY,25,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff EUR_JPY,20,0.4975124378109453,0.5024875621890548
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff EUR_JPY,20,0.47761194029850745,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff EUR_JPY,26,0.47761194029850745,0.48258706467661694
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff EUR_JPY,27,0.5223880597014925,0.5323383084577115
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff EUR_JPY,35,0.47643979057591623,0.47643979057591623
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff EUR_JPY,23,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff EUR_JPY,23,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff EUR_JPY,37,0.5392670157068062,0.5497382198952879
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff EUR_JPY,19,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff EUR_JPY,36,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff EUR_JPY,30,0.5082872928176796,0.5193370165745856
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff EUR_JPY,24,0.46408839779005523,0.4696132596685083
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff EUR_JPY,25,0.47513812154696133,0.47513812154696133
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff EUR_JPY,37,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff EUR_JPY,43,0.5263157894736842,0.5380116959064327
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff EUR_JPY,36,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff EUR_JPY,29,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff EUR_JPY,39,0.543859649122807,0.5555555555555556
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff EUR_JPY,36,0.47953216374269003,0.47953216374269003
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff EUR_JPY,48,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff EUR_JPY,39,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff EUR_JPY,32,0.4720496894409938,0.484472049689441
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff EUR_JPY,36,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff EUR_JPY,50,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff EUR_JPY,54,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff EUR_JPY,39,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff EUR_JPY,31,0.46357615894039733,0.46357615894039733
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff EUR_JPY,36,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff EUR_JPY,54,0.47019867549668876,0.47019867549668876
