day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff R2000,9,0.4658119658119658,0.47435897435897434
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff R2000,7,0.48717948717948717,0.49572649572649574
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff R2000,7,0.4444444444444444,0.44871794871794873
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff R2000,7,0.47863247863247865,0.4829059829059829
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff R2000,8,0.48717948717948717,0.49145299145299143
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff R2000,17,0.46875,0.47767857142857145
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff R2000,12,0.48660714285714285,0.4955357142857143
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff R2000,13,0.45535714285714285,0.45982142857142855
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff R2000,11,0.4642857142857143,0.4732142857142857
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff R2000,8,0.5089285714285714,0.5178571428571429
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff R2000,22,0.45794392523364486,0.4672897196261682
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff R2000,12,0.514018691588785,0.5233644859813084
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff R2000,15,0.43457943925233644,0.4392523364485981
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff R2000,13,0.4532710280373832,0.45794392523364486
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff R2000,11,0.4719626168224299,0.4766355140186916
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff R2000,32,0.4411764705882353,0.45098039215686275
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff R2000,20,0.4803921568627451,0.4852941176470588
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff R2000,21,0.4362745098039216,0.4411764705882353
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff R2000,18,0.4803921568627451,0.4803921568627451
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff R2000,13,0.5098039215686274,0.5196078431372549
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff R2000,34,0.4896907216494845,0.5
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff R2000,25,0.42783505154639173,0.4329896907216495
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff R2000,25,0.4896907216494845,0.5
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff R2000,21,0.5051546391752577,0.5154639175257731
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff R2000,16,0.4639175257731959,0.4639175257731959
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff R2000,43,0.42391304347826086,0.42934782608695654
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff R2000,26,0.5108695652173914,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff R2000,21,0.483695652173913,0.4945652173913043
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff R2000,21,0.44565217391304346,0.45108695652173914
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff R2000,23,0.4945652173913043,0.5054347826086957
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff R2000,47,0.45977011494252873,0.47126436781609193
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff R2000,29,0.4482758620689655,0.45977011494252873
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff R2000,24,0.46551724137931033,0.47126436781609193
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff R2000,24,0.4942528735632184,0.5
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff R2000,29,0.47701149425287354,0.4827586206896552
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff R2000,54,0.4573170731707317,0.4695121951219512
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff R2000,33,0.5060975609756098,0.5182926829268293
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff R2000,35,0.5121951219512195,0.524390243902439
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff R2000,29,0.5,0.5121951219512195
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff R2000,34,0.5121951219512195,0.524390243902439
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff R2000,59,0.5064935064935064,0.5194805194805194
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff R2000,40,0.4090909090909091,0.4155844155844156
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff R2000,33,0.4805194805194805,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff R2000,30,0.44155844155844154,0.44805194805194803
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff R2000,34,0.5,0.512987012987013
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff R2000,73,0.4791666666666667,0.4861111111111111
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff R2000,44,0.4513888888888889,0.4583333333333333
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff R2000,37,0.5,0.5
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff R2000,43,0.5208333333333334,0.5277777777777778
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff R2000,39,0.4652777777777778,0.4652777777777778
