day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff SP500,9,0.45726495726495725,0.4658119658119658
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff SP500,7,0.46153846153846156,0.4700854700854701
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff SP500,6,0.4358974358974359,0.4444444444444444
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff SP500,7,0.45726495726495725,0.46153846153846156
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff SP500,8,0.4700854700854701,0.47863247863247865
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff SP500,16,0.48214285714285715,0.49107142857142855
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff SP500,12,0.4955357142857143,0.5044642857142857
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff SP500,12,0.45535714285714285,0.4642857142857143
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff SP500,8,0.4732142857142857,0.47767857142857145
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff SP500,8,0.5089285714285714,0.5178571428571429
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff SP500,21,0.4766355140186916,0.48598130841121495
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff SP500,12,0.5046728971962616,0.514018691588785
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff SP500,15,0.43457943925233644,0.4392523364485981
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff SP500,13,0.45794392523364486,0.46261682242990654
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff SP500,10,0.4719626168224299,0.4766355140186916
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff SP500,32,0.4411764705882353,0.45098039215686275
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff SP500,19,0.5098039215686274,0.5147058823529411
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff SP500,20,0.47058823529411764,0.47549019607843135
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff SP500,17,0.4803921568627451,0.4803921568627451
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff SP500,13,0.5049019607843137,0.5147058823529411
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff SP500,36,0.5,0.5103092783505154
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff SP500,19,0.5051546391752577,0.5154639175257731
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff SP500,24,0.4896907216494845,0.5
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff SP500,21,0.5103092783505154,0.520618556701031
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff SP500,17,0.4639175257731959,0.4639175257731959
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff SP500,42,0.44021739130434784,0.44565217391304346
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff SP500,25,0.4782608695652174,0.4891304347826087
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff SP500,22,0.47282608695652173,0.483695652173913
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff SP500,23,0.47282608695652173,0.4782608695652174
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff SP500,25,0.483695652173913,0.4891304347826087
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff SP500,50,0.4827586206896552,0.4942528735632184
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff SP500,30,0.4827586206896552,0.4942528735632184
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff SP500,25,0.5,0.5114942528735632
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff SP500,28,0.4540229885057471,0.45977011494252873
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff SP500,30,0.4540229885057471,0.45977011494252873
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff SP500,57,0.4268292682926829,0.43902439024390244
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff SP500,34,0.5060975609756098,0.5182926829268293
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff SP500,35,0.5,0.5121951219512195
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff SP500,29,0.5121951219512195,0.524390243902439
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff SP500,34,0.5121951219512195,0.524390243902439
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff SP500,60,0.4675324675324675,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff SP500,40,0.43506493506493504,0.44155844155844154
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff SP500,34,0.4805194805194805,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff SP500,32,0.45454545454545453,0.4675324675324675
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff SP500,36,0.5194805194805194,0.5324675324675324
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff SP500,68,0.4444444444444444,0.4513888888888889
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff SP500,45,0.4305555555555556,0.4375
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff SP500,37,0.5138888888888888,0.5138888888888888
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff SP500,43,0.5277777777777778,0.5347222222222222
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff SP500,39,0.4652777777777778,0.4722222222222222
