day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff TOPIX,9,0.45374449339207046,0.4581497797356828
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff TOPIX,6,0.47577092511013214,0.4801762114537445
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff TOPIX,7,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff TOPIX,8,0.47577092511013214,0.4801762114537445
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff TOPIX,7,0.5198237885462555,0.5242290748898678
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff TOPIX,10,0.5161290322580645,0.5253456221198156
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff TOPIX,9,0.5069124423963134,0.5161290322580645
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff TOPIX,9,0.5207373271889401,0.5299539170506913
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff TOPIX,12,0.4930875576036866,0.4976958525345622
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff TOPIX,12,0.4700460829493088,0.47465437788018433
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff TOPIX,15,0.5120772946859904,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff TOPIX,12,0.5024154589371981,0.5120772946859904
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff TOPIX,12,0.5024154589371981,0.5072463768115942
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff TOPIX,16,0.463768115942029,0.46859903381642515
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff TOPIX,17,0.5120772946859904,0.5169082125603864
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff TOPIX,21,0.5228426395939086,0.5329949238578681
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff TOPIX,16,0.5177664974619289,0.5279187817258884
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff TOPIX,16,0.467005076142132,0.467005076142132
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff TOPIX,21,0.4720812182741117,0.4720812182741117
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff TOPIX,22,0.5482233502538071,0.5532994923857868
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff TOPIX,26,0.5294117647058824,0.5401069518716578
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff TOPIX,22,0.45989304812834225,0.45989304812834225
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff TOPIX,19,0.48128342245989303,0.48128342245989303
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff TOPIX,24,0.5294117647058824,0.5401069518716578
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff TOPIX,24,0.45989304812834225,0.45989304812834225
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff TOPIX,30,0.5141242937853108,0.5254237288135594
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff TOPIX,25,0.519774011299435,0.5254237288135594
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff TOPIX,20,0.5141242937853108,0.519774011299435
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff TOPIX,21,0.4632768361581921,0.4632768361581921
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff TOPIX,28,0.4745762711864407,0.4745762711864407
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff TOPIX,35,0.5149700598802395,0.5269461077844312
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff TOPIX,29,0.49700598802395207,0.5029940119760479
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff TOPIX,23,0.5089820359281437,0.5149700598802395
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff TOPIX,37,0.5209580838323353,0.5329341317365269
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff TOPIX,37,0.5209580838323353,0.5329341317365269
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff TOPIX,37,0.5286624203821656,0.5414012738853503
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff TOPIX,32,0.4968152866242038,0.5095541401273885
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff TOPIX,26,0.5031847133757962,0.5095541401273885
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff TOPIX,27,0.5159235668789809,0.5286624203821656
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff TOPIX,40,0.5286624203821656,0.5414012738853503
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff TOPIX,41,0.5374149659863946,0.54421768707483
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff TOPIX,33,0.5306122448979592,0.5374149659863946
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff TOPIX,27,0.5034013605442177,0.5034013605442177
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff TOPIX,30,0.4897959183673469,0.4897959183673469
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff TOPIX,51,0.5238095238095238,0.5306122448979592
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff TOPIX,44,0.5401459854014599,0.5474452554744526
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff TOPIX,37,0.5109489051094891,0.5109489051094891
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff TOPIX,38,0.5182481751824818,0.5182481751824818
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff TOPIX,36,0.5109489051094891,0.5109489051094891
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff TOPIX,52,0.49635036496350365,0.49635036496350365
