day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY BB_one_hot,8,0.47717842323651455,0.48132780082987553
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY BB_one_hot,8,0.45643153526970953,0.45643153526970953
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY BB_one_hot,5,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY BB_one_hot,7,0.5186721991701245,0.5269709543568465
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY BB_one_hot,7,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY BB_one_hot,12,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY BB_one_hot,10,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY BB_one_hot,7,0.48917748917748916,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY BB_one_hot,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY BB_one_hot,11,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY BB_one_hot,15,0.5113122171945701,0.5158371040723982
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY BB_one_hot,12,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY BB_one_hot,9,0.5067873303167421,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY BB_one_hot,10,0.5429864253393665,0.5520361990950227
