day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,8,0.47717842323651455,0.48132780082987553
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,6,0.48132780082987553,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,5,0.5269709543568465,0.5352697095435685
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,8,0.45228215767634855,0.45643153526970953
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,7,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,12,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,10,0.5411255411255411,0.5497835497835498
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,8,0.49783549783549785,0.5021645021645021
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,8,0.5064935064935064,0.5108225108225108
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,11,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,15,0.5294117647058824,0.5384615384615384
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,12,0.48868778280542985,0.49321266968325794
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,9,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,10,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,11,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,20,0.5213270142180095,0.5260663507109005
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,16,0.5308056872037915,0.5402843601895735
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,12,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,13,0.4976303317535545,0.5023696682464455
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,22,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,24,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,19,0.5323383084577115,0.5323383084577115
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,15,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,16,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,16,0.5074626865671642,0.5174129353233831
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,28,0.5130890052356021,0.5235602094240838
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,23,0.5130890052356021,0.5235602094240838
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,17,0.4869109947643979,0.4869109947643979
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,18,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,19,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,29,0.5359116022099447,0.5469613259668509
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,23,0.5027624309392266,0.5027624309392266
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,24,0.56353591160221,0.569060773480663
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,19,0.49171270718232046,0.49171270718232046
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,22,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,33,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,26,0.5614035087719298,0.5672514619883041
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,27,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,22,0.5614035087719298,0.5672514619883041
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,25,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,45,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,25,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,29,0.515527950310559,0.515527950310559
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,50,0.5894039735099338,0.5894039735099338
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,37,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,31,0.48344370860927155,0.48344370860927155
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,26,0.46357615894039733,0.46357615894039733
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot,31,0.46357615894039733,0.46357615894039733
