day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,7,0.5103734439834025,0.5186721991701245
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,10,0.46887966804979253,0.4730290456431535
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,5,0.5228215767634855,0.5311203319502075
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,7,0.47717842323651455,0.48132780082987553
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,7,0.47717842323651455,0.48132780082987553
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,12,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,10,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,8,0.4935064935064935,0.49783549783549785
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,13,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,11,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,15,0.5203619909502263,0.5294117647058824
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,12,0.5113122171945701,0.5158371040723982
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,9,0.5248868778280543,0.5339366515837104
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,10,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,11,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,19,0.4549763033175355,0.4597156398104265
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,15,0.4928909952606635,0.4976303317535545
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,12,0.5118483412322274,0.5213270142180095
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,12,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,22,0.5023696682464455,0.5071090047393365
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,24,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,19,0.4925373134328358,0.4925373134328358
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,14,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,15,0.5472636815920398,0.5522388059701493
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,16,0.48258706467661694,0.48258706467661694
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,29,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,22,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,17,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,18,0.5602094240837696,0.5654450261780105
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,19,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,29,0.569060773480663,0.574585635359116
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,23,0.585635359116022,0.5911602209944752
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,24,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,18,0.5193370165745856,0.5303867403314917
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,22,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,33,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,26,0.5146198830409356,0.52046783625731
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,28,0.543859649122807,0.5497076023391813
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,22,0.5964912280701754,0.6023391812865497
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,25,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,45,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,46,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,26,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,29,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY BB_one_hot_neutral,44,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY BB_one_hot_neutral,38,0.5562913907284768,0.5629139072847682
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY BB_one_hot_neutral,31,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY BB_one_hot_neutral,53,0.5562913907284768,0.5562913907284768
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY BB_one_hot_neutral,31,0.46357615894039733,0.46357615894039733
