day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30 treasury_10,19,0.43776824034334766,0.44635193133047213
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30 treasury_10,13,0.5107296137339056,0.5150214592274678
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30 treasury_10,14,0.48068669527896996,0.48497854077253216
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30 treasury_10,15,0.47639484978540775,0.48068669527896996
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30 treasury_10,14,0.4978540772532189,0.5021459227467812
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30 treasury_10,26,0.49327354260089684,0.5022421524663677
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30 treasury_10,25,0.4977578475336323,0.4977578475336323
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30 treasury_10,20,0.4663677130044843,0.47533632286995514
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30 treasury_10,16,0.4798206278026906,0.484304932735426
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30 treasury_10,19,0.5112107623318386,0.515695067264574
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30 treasury_10,37,0.45539906103286387,0.460093896713615
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30 treasury_10,25,0.4694835680751174,0.47417840375586856
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30 treasury_10,21,0.4647887323943662,0.4694835680751174
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30 treasury_10,22,0.47417840375586856,0.4788732394366197
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30 treasury_10,19,0.4647887323943662,0.4694835680751174
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30 treasury_10,46,0.46798029556650245,0.47783251231527096
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30 treasury_10,34,0.5320197044334976,0.5320197044334976
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30 treasury_10,29,0.5221674876847291,0.5270935960591133
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30 treasury_10,30,0.5073891625615764,0.5123152709359606
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30 treasury_10,22,0.5172413793103449,0.5172413793103449
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30 treasury_10,52,0.5025906735751295,0.5077720207253886
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30 treasury_10,39,0.5025906735751295,0.5129533678756477
