day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30,11,0.452991452991453,0.46153846153846156
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30,6,0.45726495726495725,0.46153846153846156
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30,7,0.48717948717948717,0.49145299145299143
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30,9,0.47435897435897434,0.47863247863247865
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30,7,0.49145299145299143,0.49572649572649574
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30,21,0.4107142857142857,0.42410714285714285
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30,12,0.5133928571428571,0.5178571428571429
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30,12,0.5,0.5089285714285714
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30,15,0.53125,0.5357142857142857
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30,8,0.49107142857142855,0.5
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30,23,0.4439252336448598,0.4532710280373832
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30,12,0.5093457943925234,0.5186915887850467
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30,12,0.48130841121495327,0.48598130841121495
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30,9,0.4953271028037383,0.5046728971962616
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30,14,0.49065420560747663,0.4953271028037383
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30,31,0.46568627450980393,0.47058823529411764
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30,19,0.4950980392156863,0.4950980392156863
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30,20,0.5294117647058824,0.5343137254901961
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30,17,0.4950980392156863,0.4950980392156863
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30,13,0.5588235294117647,0.5588235294117647
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30,44,0.4639175257731959,0.4742268041237113
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30,23,0.4587628865979381,0.4639175257731959
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY DOW30,24,0.5103092783505154,0.5154639175257731
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY DOW30,25,0.4896907216494845,0.4896907216494845
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY DOW30,21,0.5103092783505154,0.520618556701031
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY DOW30,40,0.483695652173913,0.4891304347826087
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY DOW30,30,0.4945652173913043,0.5054347826086957
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY DOW30,25,0.5597826086956522,0.5597826086956522
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY DOW30,26,0.5,0.5054347826086957
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY DOW30,23,0.5108695652173914,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY DOW30,47,0.5229885057471264,0.5287356321839081
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY DOW30,36,0.5057471264367817,0.5057471264367817
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY DOW30,30,0.5172413793103449,0.5229885057471264
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY DOW30,25,0.5172413793103449,0.5287356321839081
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY DOW30,29,0.5114942528735632,0.5172413793103449
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY DOW30,60,0.4573170731707317,0.4573170731707317
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY DOW30,40,0.5060975609756098,0.5182926829268293
