day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,12,0.5251141552511416,0.5342465753424658
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,6,0.4611872146118721,0.4703196347031963
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,7,0.4794520547945205,0.4794520547945205
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,5,0.5068493150684932,0.5159817351598174
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,5,0.502283105022831,0.5068493150684932
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,20,0.4880382775119617,0.49760765550239233
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,9,0.4354066985645933,0.44019138755980863
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,11,0.49282296650717705,0.5023923444976076
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,10,0.4688995215311005,0.47368421052631576
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot STOCH,8,0.44019138755980863,0.44019138755980863
