day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,13,0.5296803652968036,0.5388127853881278
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,7,0.4840182648401826,0.4885844748858447
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,6,0.4748858447488584,0.4748858447488584
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,6,0.4931506849315068,0.502283105022831
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,6,0.4977168949771689,0.502283105022831
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,24,0.5023923444976076,0.5119617224880383
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,11,0.5023923444976076,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,11,0.49760765550239233,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,10,0.4880382775119617,0.49282296650717705
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,8,0.49760765550239233,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,32,0.49246231155778897,0.5025125628140703
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,16,0.49246231155778897,0.49748743718592964
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,16,0.5025125628140703,0.5125628140703518
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,17,0.44221105527638194,0.45226130653266333
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,15,0.49246231155778897,0.5025125628140703
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,42,0.4973544973544973,0.5026455026455027
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,19,0.5132275132275133,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,23,0.5026455026455027,0.5132275132275133
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,20,0.5343915343915344,0.5396825396825397
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,17,0.48677248677248675,0.49206349206349204
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,46,0.5027932960893855,0.5083798882681564
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,28,0.5027932960893855,0.5139664804469274
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,24,0.4748603351955307,0.48044692737430167
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,25,0.44692737430167595,0.45251396648044695
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 NASDAQ treasury_10,21,0.4860335195530726,0.49162011173184356
