day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,11,0.5251141552511416,0.5342465753424658
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,6,0.4703196347031963,0.4748858447488584
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,6,0.4931506849315068,0.4977168949771689
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,6,0.5068493150684932,0.5205479452054794
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,6,0.5342465753424658,0.5388127853881278
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,23,0.4784688995215311,0.4880382775119617
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,11,0.5023923444976076,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,9,0.5023923444976076,0.5119617224880383
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,7,0.4688995215311005,0.47368421052631576
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,7,0.49760765550239233,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,33,0.5125628140703518,0.5226130653266332
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,15,0.4723618090452261,0.47738693467336685
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,15,0.49748743718592964,0.5025125628140703
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,28,0.46733668341708545,0.4723618090452261
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,10,0.4623115577889447,0.4623115577889447
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,42,0.48677248677248675,0.49206349206349204
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,17,0.5291005291005291,0.5343915343915344
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,21,0.5079365079365079,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY nikkei DOW30 treasury_10,18,0.5291005291005291,0.5396825396825397
