day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY,10,0.5103734439834025,0.5186721991701245
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY,6,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY,7,0.46473029045643155,0.46887966804979253
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY,8,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY,5,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY,11,0.5194805194805194,0.5281385281385281
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY,9,0.4935064935064935,0.49783549783549785
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY,12,0.48917748917748916,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY,11,0.4935064935064935,0.49783549783549785
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY,18,0.4751131221719457,0.4796380090497738
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY,12,0.48868778280542985,0.497737556561086
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY,12,0.502262443438914,0.5067873303167421
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY,16,0.5248868778280543,0.5339366515837104
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY,11,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY,22,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY,15,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY,15,0.5118483412322274,0.5213270142180095
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY,21,0.4881516587677725,0.4976303317535545
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY,21,0.5118483412322274,0.5213270142180095
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY,23,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY,19,0.48756218905472637,0.48756218905472637
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY,19,0.5572139303482587,0.5621890547263682
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY,32,0.5074626865671642,0.5074626865671642
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY,16,0.47761194029850745,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_JPY,33,0.5078534031413613,0.5078534031413613
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_JPY,29,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_JPY,22,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_JPY,35,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_JPY,19,0.4712041884816754,0.4712041884816754
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_JPY,35,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_JPY,30,0.580110497237569,0.5911602209944752
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_JPY,23,0.4972375690607735,0.5027624309392266
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_JPY,25,0.47513812154696133,0.47513812154696133
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_JPY,36,0.4861878453038674,0.49171270718232046
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY EUR_JPY,39,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY EUR_JPY,33,0.5321637426900585,0.543859649122807
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY EUR_JPY,27,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY EUR_JPY,36,0.52046783625731,0.5321637426900585
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY EUR_JPY,43,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY EUR_JPY,44,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY EUR_JPY,38,0.515527950310559,0.5279503105590062
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY EUR_JPY,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY EUR_JPY,53,0.5341614906832298,0.546583850931677
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY EUR_JPY,49,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY EUR_JPY,51,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY EUR_JPY,36,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY EUR_JPY,36,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY EUR_JPY,35,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY EUR_JPY,60,0.5298013245033113,0.5364238410596026
