day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,7,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,6,0.4896265560165975,0.49377593360995853
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,5,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,6,0.46473029045643155,0.46887966804979253
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,7,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,11,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,10,0.47186147186147187,0.47619047619047616
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,7,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,13,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,11,0.45454545454545453,0.4588744588744589
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,14,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,12,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,9,0.49321266968325794,0.497737556561086
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,10,0.4796380090497738,0.4841628959276018
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,11,0.5203619909502263,0.5294117647058824
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,19,0.4786729857819905,0.4834123222748815
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,15,0.46919431279620855,0.47393364928909953
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,12,0.5545023696682464,0.5639810426540285
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,12,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,22,0.5023696682464455,0.5071090047393365
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,23,0.5223880597014925,0.527363184079602
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,19,0.4975124378109453,0.4975124378109453
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,15,0.5174129353233831,0.527363184079602
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,16,0.48756218905472637,0.4925373134328358
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,16,0.5174129353233831,0.527363184079602
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,28,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,22,0.518324607329843,0.5235602094240838
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,17,0.4869109947643979,0.4869109947643979
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,18,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,19,0.5026178010471204,0.5130890052356021
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,29,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,23,0.56353591160221,0.574585635359116
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,24,0.580110497237569,0.585635359116022
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,19,0.4861878453038674,0.4861878453038674
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,21,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,33,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,26,0.5847953216374269,0.5906432748538012
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,28,0.5555555555555556,0.5614035087719298
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,22,0.5380116959064327,0.543859649122807
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,25,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,44,0.5031055900621118,0.515527950310559
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,29,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,26,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,29,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,42,0.4900662251655629,0.4900662251655629
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,38,0.5629139072847682,0.5629139072847682
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral,30,0.5231788079470199,0.5298013245033113
