day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD,13,0.5394190871369294,0.5435684647302904
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD,13,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD,14,0.4979253112033195,0.5020746887966805
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD,13,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD,17,0.4605809128630705,0.46473029045643155
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD,18,0.5194805194805194,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD,17,0.48484848484848486,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD,19,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD,16,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD,18,0.45454545454545453,0.4588744588744589
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD,25,0.45248868778280543,0.45701357466063347
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD,19,0.5339366515837104,0.5429864253393665
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD,20,0.46153846153846156,0.4660633484162896
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD,23,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD,18,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD,31,0.5071090047393365,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD,23,0.5023696682464455,0.5118483412322274
