day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,8,0.46153846153846156,0.4700854700854701
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,6,0.4658119658119658,0.47435897435897434
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,5,0.5213675213675214,0.5299145299145299
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,8,0.5170940170940171,0.5256410256410257
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,6,0.4444444444444444,0.452991452991453
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,11,0.5133928571428571,0.5223214285714286
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,10,0.46875,0.47767857142857145
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,7,0.4732142857142857,0.48214285714285715
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,8,0.45535714285714285,0.45982142857142855
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,11,0.47767857142857145,0.48214285714285715
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,15,0.5373831775700935,0.5467289719626168
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,12,0.4672897196261682,0.4766355140186916
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,9,0.4439252336448598,0.4532710280373832
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,10,0.43457943925233644,0.4439252336448598
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,11,0.4953271028037383,0.5
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,20,0.5196078431372549,0.5245098039215687
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,16,0.47549019607843135,0.4803921568627451
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,12,0.5098039215686274,0.5196078431372549
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,13,0.46568627450980393,0.47058823529411764
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,13,0.47549019607843135,0.4803921568627451
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,24,0.5309278350515464,0.5360824742268041
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,19,0.4639175257731959,0.4690721649484536
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,14,0.5154639175257731,0.5257731958762887
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,15,0.5051546391752577,0.5103092783505154
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,16,0.4639175257731959,0.4690721649484536
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,25,0.5163043478260869,0.5271739130434783
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral,21,0.47282608695652173,0.4782608695652174
