day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ,8,0.5341880341880342,0.5427350427350427
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ,8,0.5213675213675214,0.5299145299145299
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ,7,0.46153846153846156,0.4700854700854701
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ,8,0.49145299145299143,0.5
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ,7,0.4700854700854701,0.47435897435897434
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ,11,0.5089285714285714,0.5178571428571429
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ,10,0.48214285714285715,0.49107142857142855
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ,14,0.45982142857142855,0.46875
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ,13,0.4419642857142857,0.45089285714285715
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ,11,0.47767857142857145,0.48214285714285715
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ,18,0.40654205607476634,0.411214953271028
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ,12,0.46261682242990654,0.4766355140186916
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ,12,0.4439252336448598,0.4532710280373832
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ,16,0.4439252336448598,0.4485981308411215
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ,10,0.4766355140186916,0.48130841121495327
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ,24,0.4068627450980392,0.4068627450980392
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY NASDAQ,16,0.46078431372549017,0.46568627450980393
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY NASDAQ,16,0.45588235294117646,0.46078431372549017
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY NASDAQ,21,0.43137254901960786,0.43137254901960786
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY NASDAQ,18,0.47549019607843135,0.47549019607843135
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY NASDAQ,28,0.520618556701031,0.5309278350515464
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY NASDAQ,19,0.5154639175257731,0.5257731958762887
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY NASDAQ,19,0.5154639175257731,0.5257731958762887
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY NASDAQ,25,0.4072164948453608,0.41237113402061853
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY NASDAQ,16,0.4742268041237113,0.4742268041237113
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY NASDAQ,31,0.5163043478260869,0.5271739130434783
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY NASDAQ,25,0.4782608695652174,0.483695652173913
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY NASDAQ,20,0.43478260869565216,0.44021739130434784
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY NASDAQ,27,0.45652173913043476,0.46195652173913043
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY NASDAQ,17,0.47282608695652173,0.4782608695652174
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY NASDAQ,34,0.5172413793103449,0.5287356321839081
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY NASDAQ,24,0.5172413793103449,0.5287356321839081
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY NASDAQ,24,0.5229885057471264,0.5344827586206896
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY NASDAQ,31,0.45977011494252873,0.47126436781609193
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY NASDAQ,21,0.4885057471264368,0.5
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY NASDAQ,39,0.5182926829268293,0.5304878048780488
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY NASDAQ,34,0.5,0.5060975609756098
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY NASDAQ,27,0.4695121951219512,0.47560975609756095
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY NASDAQ,36,0.5182926829268293,0.5304878048780488
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY NASDAQ,25,0.4817073170731707,0.4878048780487805
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY NASDAQ,45,0.525974025974026,0.538961038961039
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY NASDAQ,32,0.487012987012987,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY NASDAQ,26,0.487012987012987,0.5
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY NASDAQ,30,0.474025974025974,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY NASDAQ,44,0.512987012987013,0.525974025974026
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY NASDAQ,51,0.5347222222222222,0.5416666666666666
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY NASDAQ,44,0.5138888888888888,0.5138888888888888
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY NASDAQ,30,0.4722222222222222,0.4791666666666667
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY NASDAQ,35,0.4861111111111111,0.4861111111111111
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY NASDAQ,49,0.4652777777777778,0.4722222222222222
