day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,19,0.47717842323651455,0.48132780082987553
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY RSI RSI_one_hot,6,0.47717842323651455,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY RSI RSI_one_hot,7,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY RSI RSI_one_hot,6,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY RSI RSI_one_hot,7,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,30,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY RSI RSI_one_hot,14,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY RSI RSI_one_hot,12,0.5064935064935064,0.5151515151515151
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY RSI RSI_one_hot,13,0.5064935064935064,0.5151515151515151
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY RSI RSI_one_hot,8,0.5108225108225108,0.5194805194805194
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,62,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY RSI RSI_one_hot,21,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY RSI RSI_one_hot,21,0.5203619909502263,0.5294117647058824
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY RSI RSI_one_hot,13,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY RSI RSI_one_hot,14,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,47,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY RSI RSI_one_hot,19,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY RSI RSI_one_hot,23,0.46919431279620855,0.47393364928909953
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY RSI RSI_one_hot,17,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY RSI RSI_one_hot,18,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,62,0.47761194029850745,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY RSI RSI_one_hot,34,0.472636815920398,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY RSI RSI_one_hot,29,0.472636815920398,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY RSI RSI_one_hot,26,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY RSI RSI_one_hot,32,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,39,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY RSI RSI_one_hot,35,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY RSI RSI_one_hot,40,0.4973821989528796,0.5078534031413613
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY RSI RSI_one_hot,41,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY RSI RSI_one_hot,32,0.5235602094240838,0.5340314136125655
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY RSI RSI_one_hot,41,0.47513812154696133,0.47513812154696133
