day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY RSI2,9,0.48132780082987553,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY RSI2,6,0.48132780082987553,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY RSI2,6,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY RSI2,6,0.5518672199170125,0.5560165975103735
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY RSI2,7,0.48132780082987553,0.4854771784232365
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY RSI2,12,0.47186147186147187,0.47619047619047616
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY RSI2,9,0.5324675324675324,0.5411255411255411
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY RSI2,12,0.4935064935064935,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY RSI2,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY RSI2,11,0.4935064935064935,0.49783549783549785
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY RSI2,18,0.4660633484162896,0.47058823529411764
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY RSI2,12,0.4796380090497738,0.4841628959276018
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY RSI2,13,0.49321266968325794,0.497737556561086
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY RSI2,13,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY RSI2,14,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY RSI2,23,0.4976303317535545,0.5071090047393365
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY RSI2,17,0.5355450236966824,0.5450236966824644
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY RSI2,16,0.4928909952606635,0.4976303317535545
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY RSI2,17,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY RSI2,22,0.4976303317535545,0.5023696682464455
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY RSI2,29,0.472636815920398,0.472636815920398
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY RSI2,19,0.4577114427860697,0.4577114427860697
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY RSI2,19,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY RSI2,20,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY RSI2,16,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY RSI2,35,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY RSI2,23,0.5130890052356021,0.518324607329843
