day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY RSI_one_hot,8,0.5435684647302904,0.5435684647302904
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY RSI_one_hot,6,0.46887966804979253,0.4730290456431535
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY RSI_one_hot,5,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY RSI_one_hot,6,0.5228215767634855,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY RSI_one_hot,5,0.4854771784232365,0.4896265560165975
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY RSI_one_hot,12,0.5454545454545454,0.5497835497835498
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY RSI_one_hot,9,0.4675324675324675,0.47186147186147187
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY RSI_one_hot,10,0.5670995670995671,0.5714285714285714
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY RSI_one_hot,8,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY RSI_one_hot,8,0.5064935064935064,0.5151515151515151
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY RSI_one_hot,15,0.5158371040723982,0.5203619909502263
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY RSI_one_hot,13,0.5475113122171946,0.5520361990950227
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY RSI_one_hot,13,0.5294117647058824,0.5339366515837104
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY RSI_one_hot,10,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY RSI_one_hot,11,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY RSI_one_hot,19,0.5450236966824644,0.5545023696682464
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY RSI_one_hot,15,0.5355450236966824,0.5450236966824644
