day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,8,0.4854771784232365,0.4896265560165975
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,10,0.46887966804979253,0.4730290456431535
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,5,0.5643153526970954,0.5684647302904564
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,7,0.46887966804979253,0.4730290456431535
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,7,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,12,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,10,0.48917748917748916,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,8,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,11,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,16,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,12,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,10,0.5656108597285068,0.5701357466063348
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,10,0.48868778280542985,0.49321266968325794
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,15,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,20,0.5071090047393365,0.5165876777251185
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,15,0.4786729857819905,0.4834123222748815
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,12,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,13,0.5071090047393365,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,22,0.4928909952606635,0.4976303317535545
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,24,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,19,0.4577114427860697,0.4577114427860697
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,14,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,16,0.527363184079602,0.5373134328358209
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,16,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,28,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,23,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,17,0.4869109947643979,0.4869109947643979
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,19,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,20,0.46596858638743455,0.46596858638743455
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,36,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,25,0.569060773480663,0.574585635359116
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,26,0.5524861878453039,0.5580110497237569
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,19,0.574585635359116,0.580110497237569
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,22,0.5414364640883977,0.5469613259668509
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,40,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,28,0.5321637426900585,0.5380116959064327
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,28,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,22,0.5906432748538012,0.5964912280701754
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,26,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,46,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,31,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,25,0.5714285714285714,0.577639751552795
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,29,0.515527950310559,0.5279503105590062
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,44,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,31,0.5364238410596026,0.543046357615894
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,30,0.543046357615894,0.5496688741721855
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,53,0.5695364238410596,0.5695364238410596
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY SMA_5 BB_one_hot_neutral,30,0.5827814569536424,0.5827814569536424
