day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5,8,0.5767634854771784,0.5767634854771784
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5,6,0.47717842323651455,0.48132780082987553
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5,7,0.5103734439834025,0.5103734439834025
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5,5,0.45228215767634855,0.45643153526970953
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5,5,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5,12,0.5108225108225108,0.5151515151515151
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5,10,0.5714285714285714,0.5757575757575758
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5,12,0.5064935064935064,0.5151515151515151
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5,11,0.5454545454545454,0.5497835497835498
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5,18,0.4796380090497738,0.4841628959276018
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5,12,0.5475113122171946,0.5565610859728507
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5,13,0.49321266968325794,0.497737556561086
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5,16,0.4796380090497738,0.4841628959276018
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5,11,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5,24,0.5023696682464455,0.5071090047393365
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY SMA_5,16,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY SMA_5,16,0.5545023696682464,0.5592417061611374
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY SMA_5,22,0.5118483412322274,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY SMA_5,13,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY SMA_5,25,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY SMA_5,19,0.48258706467661694,0.48258706467661694
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY SMA_5,19,0.47761194029850745,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY SMA_5,31,0.47761194029850745,0.47761194029850745
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY SMA_5,16,0.47761194029850745,0.47761194029850745
